,Site.ID,From (m),To (m),Depth,Material.simplified,Deposit.type,Deposit.type.conf,Mid_VI,EI_pred
303,PW18 - P4,0,1.1,0.55,Fine,Glaciolacustrine,3,8,0.066562548
304,PW6 - P19,6.7,8,7.35,Fine,Glaciolacustrine,3,45,0.102448261
305,PW6 - P19,8.2,10.1,9.15,Fine,Glaciolacustrine,3,45,0.096713321
306,PW6 - P19,8,8.2,8.1,Fine,Glaciolacustrine,3,45,0.100023548
307,PW6 - P19,0.9,1.8,1.35,Fine,Glaciolacustrine,3,8,0.064804428
308,PW6 - P19,3.7,6.7,5.2,Fine,Glaciolacustrine,3,45,0.109684735
309,PW6 - P19,1.8,3.7,2.75,Fine,Glaciolacustrine,3,0,0.053409632
310,PW6 - P19,0,0.9,0.45,Fine,Glaciolacustrine,3,45,0.127246405
311,PW6 - P21,7.5,9,8.25,Fine,Glaciolacustrine,3,8,0.051306765
312,PW6 - P21,2,3,2.5,Fine,Glaciolacustrine,3,0,0.053866367
313,PW6 - P4,0.2,1.5,0.85,Fine,Glaciolacustrine,3,8,0.065898244
314,PW6 - P4,8,9,8.5,Fine,Glaciolacustrine,3,45,0.098750992
315,PW6 - P4,3,4.5,3.75,Fine,Glaciolacustrine,3,45,0.114810931
316,PW6 - P4,4.5,6,5.25,Fine,Glaciolacustrine,3,45,0.109511547
317,PW6 - P4,6,8,7,Fine,Glaciolacustrine,3,45,0.103597227
318,PW6 - P4,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
319,PW6 - P5,8.5,10.1,9.3,Fine,Glaciolacustrine,2,8,0.139546159
320,PW6 - P6,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
321,PW6 - P6,3,6,4.5,Fine,Glaciolacustrine,3,45,0.112134297
322,PW6 - P6,0.2,1.5,0.85,Fine,Glaciolacustrine,3,0,0.056971626
323,PW6 - P6,6,7.8,6.9,Fine,Glaciolacustrine,3,0,0.046328606
324,PW9 - P1,6.1,7.6,6.85,Fine,Glaciolacustrine,3,45,0.104093064
325,PW9 - P1,8,10.1,9.05,Fine,Glaciolacustrine,3,45,0.097024388
326,PW9 - P1,1.5,3,2.25,Fine,Glaciolacustrine,3,87,0.233736857
327,PW9 - P1,7.6,8,7.8,Fine,Glaciolacustrine,3,45,0.100987353
328,PW9 - P1,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
329,PW9 - P2,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
330,PW9 - P2,4.6,8,6.3,Fine,Glaciolacustrine,3,45,0.105928829
331,PW9 - P2,1.5,4.6,3.05,Fine,Glaciolacustrine,3,45,0.117358376
332,PW9 - P2,8,10.1,9.05,Fine,Glaciolacustrine,3,45,0.097024388
333,PW9 - P3,10.1,10.7,10.4,Fine,Glaciolacustrine,3,8,0.04766033
334,PW9 - P3,8.2,10.1,9.15,Fine,Glaciolacustrine,3,8,0.049750255
335,PW9 - P3,3,8.2,5.6,Fine,Glaciolacustrine,3,8,0.05615283
336,PW9 - P3,0.2,3,1.6,Fine,Glaciolacustrine,3,8,0.064263726
337,PW9 - P8,2.6,6.7,4.65,Fine,Glaciolacustrine,3,45,0.111605459
338,PW9 - P8,2.4,2.6,2.5,Fine,Glaciolacustrine,3,45,0.119393691
339,PW9 - P8,6.7,7.2,6.95,Fine,Glaciolacustrine,3,87,0.205369583
340,PW9 - P8,1.5,2.4,1.95,Fine,Glaciolacustrine,3,8,0.063513629
341,W14103137-AH18.15N,4.9,5.2,5.05,Fine,Glaciolacustrine,3,8,0.057209679
342,W14103137-AH18.15N,0.2,3.5,1.85,Fine,Glaciolacustrine,3,45,0.121837769
343,W14103137-AH18.15S,5.5,5.8,5.65,Fine,Glaciolacustrine,3,45,0.108134528
344,W14103137-AH18.15S,1.2,5.5,3.35,Fine,Glaciolacustrine,3,45,0.116260751
345,W14103137-AH18.15S,0,1.2,0.6,Fine,Glaciolacustrine,3,87,0.244313222
346,W14103137-AH48.9N,3.6,6.1,4.85,Fine,Glaciolacustrine,3,45,0.110903686
347,W14103137-AH48.9S,1.5,6.1,3.8,Fine,Glaciolacustrine,3,45,0.114630797
348,W14103137-CR15N,6.1,13.4,9.75,Fine,Glaciolacustrine,3,45,0.094865247
349,W14103137-CR15N,1.2,6.1,3.65,Fine,Glaciolacustrine,3,45,0.115171925
350,W14103137-CR15N,15.1,21,18.05,Fine,Glaciolacustrine,3,45,0.072324815
351,W14103137-CR15N,13.4,15.1,14.25,Fine,Glaciolacustrine,3,45,0.081970452
352,W14103137-CR15S,2,4.3,3.15,Fine,Glaciolacustrine,3,45,0.116991521
353,W14103137-CR17aS,15.7,21,18.35,Fine,Glaciolacustrine,2,8,0.105279833
354,W14103137-CR17aS,15,15.7,15.35,Fine,Glaciolacustrine,2,45,0.209747607
355,W14103137-CR18N,8.5,8.8,8.65,Fine,Glaciolacustrine,3,8,0.050609546
356,W14103137-CR18N,4.3,5.8,5.05,Fine,Glaciolacustrine,3,45,0.11020572
357,W14103137-CR18N,8.8,10.1,9.45,Fine,Glaciolacustrine,3,45,0.095785367
358,W14103137-CR18N,6.25,8.5,7.375,Fine,Glaciolacustrine,3,87,0.20293353
359,W14103137-CR18N,10.1,12.2,11.15,Fine,Glaciolacustrine,3,8,0.046445435
360,W14103137-CR18N,3.7,4.3,4,Fine,Glaciolacustrine,3,0,0.051178745
361,W14103137-CR18N,5.8,6.25,6.025,Fine,Glaciolacustrine,3,8,0.055348437
362,W14103137-CR18N,2.9,3.7,3.3,Fine,Glaciolacustrine,3,45,0.116443077
363,W14103137-CR18N,12.2,14.1,13.15,Fine,Glaciolacustrine,3,45,0.084969617
364,W14103137-CR18S,3.4,5.6,4.5,Fine,Glaciolacustrine,3,45,0.112134297
365,W14103137-CR18S,6.1,7.2,6.65,Fine,Glaciolacustrine,3,8,0.05418465
366,W14103137-CR18S,10.8,11.9,11.35,Fine,Glaciolacustrine,3,45,0.090088237
367,W14103137-CR18S,7.4,10.8,9.1,Fine,Glaciolacustrine,3,45,0.096868745
368,W14103137-CR18S,1.8,3.1,2.45,Fine,Glaciolacustrine,3,8,0.062455867
369,W14103137-CR18S,5.6,6.1,5.85,Fine,Glaciolacustrine,3,8,0.055678372
370,W14103137-CR18S,3.1,3.4,3.25,Fine,Glaciolacustrine,3,87,0.227482442
371,W14103137-CR18S,7.2,7.4,7.3,Fine,Glaciolacustrine,3,8,0.052998121
372,W14103137-CR21N,2.1,5.2,3.65,Fine,Glaciolacustrine,3,45,0.115171925
373,W14103137-CR21N,1.5,2.1,1.8,Fine,Glaciolacustrine,3,87,0.236589716
374,W14103137-CR21N,6.1,6.3,6.2,Fine,Glaciolacustrine,3,8,0.055020291
375,W14103137-CR21N,5.2,5.9,5.55,Fine,Glaciolacustrine,3,8,0.056248165
376,W14103137-CR21N,5.9,6.1,6,Fine,Glaciolacustrine,3,45,0.10694195
377,W14103137-CR23aS,4,4.2,4.1,Fine,Glaciolacustrine,2,45,0.282928512
378,W14103137-CR23aS,0.4,0.6,0.5,Fine,Glaciolacustrine,2,45,0.309334532
379,W14103137-CR23aS,1.05,1.5,1.275,Fine,Glaciolacustrine,2,8,0.177211129
380,W14103137-CR23aS,1.5,1.9,1.7,Fine,Glaciolacustrine,2,45,0.300382569
381,W14103137-CR23aS,2.4,3.1,2.75,Fine,Glaciolacustrine,2,45,0.292671402
382,W14103137-CR23aS,3.1,4,3.55,Fine,Glaciolacustrine,2,8,0.165795418
383,W14103137-CR23aS,2,2.4,2.2,Fine,Glaciolacustrine,2,0,0.151765445
384,W14103137-CR23aS,1.9,2,1.95,Fine,Glaciolacustrine,2,8,0.173761742
385,W14103137-CR35aS,1.4,1.5,1.45,Fine,Glaciolacustrine,3,45,0.123362845
386,W14103137-CR35aS,2.1,2.6,2.35,Fine,Glaciolacustrine,3,45,0.119953973
387,W14103137-CR35aS,1.5,2.1,1.8,Fine,Glaciolacustrine,3,8,0.063834119
388,W14103137-CR3S,1.9,2.1,2,Fine,Glaciolacustrine,2,45,0.298167645
389,W14103137-CR3S,2.6,3,2.8,Fine,Glaciolacustrine,2,8,0.169492997
390,W14103137-CR3S,3,3.75,3.375,Fine,Glaciolacustrine,2,45,0.288136554
391,W14103137-CR3S,0.5,0.95,0.725,Fine,Glaciolacustrine,2,45,0.307644909
392,W14103137-CR3S,10.8,13.85,12.325,Fine,Glaciolacustrine,2,0,0.111108353
393,W14103137-CR3S,0.95,1.7,1.325,Fine,Glaciolacustrine,2,45,0.303164285
394,W14103137-CR3S,2.2,2.6,2.4,Fine,Glaciolacustrine,2,45,0.295228977
395,W14103137-CR4N,4,5.2,4.6,Fine,Glaciolacustrine,2,45,0.279369917
396,W14103137-CR4N,13.4,15.1,14.25,Fine,Glaciolacustrine,2,0,0.104535898
397,W14103137-CR4N,5.4,5.7,5.55,Fine,Glaciolacustrine,2,87,0.454519545
398,W14103137-CR4N,5.2,5.4,5.3,Fine,Glaciolacustrine,2,45,0.274433862
399,W14103137-CR4N,9.5,9.7,9.6,Fine,Glaciolacustrine,2,45,0.245320426
400,W14103137-CR4S,5.2,7.1,6.15,Fine,Glaciolacustrine,2,45,0.268512984
401,W14103137-CR4S,9,11.8,10.4,Fine,Glaciolacustrine,2,45,0.240138311
402,W14103137-CR4S,11.8,11.9,11.85,Fine,Glaciolacustrine,2,0,0.112783963
403,W14103137-CR4S,11.9,12.3,12.1,Fine,Glaciolacustrine,2,45,0.229375011
404,W14103137-CR8N,13.6,19.8,16.7,Fine,Glaciolacustrine,2,8,0.110926475
405,W14103137-CR8N,12.2,13.6,12.9,Fine,Glaciolacustrine,2,45,0.224427651
406,W14103137-CR8S,10.2,11.6,10.9,Fine,Glaciolacustrine,2,45,0.236937432
407,W14103137-CR8S,12.6,16,14.3,Fine,Glaciolacustrine,2,45,0.215951927
408,W14103137-CR8S,12.5,12.6,12.55,Fine,Glaciolacustrine,2,87,0.394454885
409,W14103137-CRA3N,3,3.2,3.1,Fine,Glaciolacustrine,3,45,0.117174826
410,W14103137-CRA3N,2.55,3,2.775,Fine,Glaciolacustrine,3,0,0.053364154
411,W14103137-S6-BH09,4.5,10,7.25,Fine,Glaciolacustrine,3,0,0.045772753
412,W14103137-S6-BH09,0.1,4.5,2.3,Fine,Glaciolacustrine,3,0,0.054234328
413,W14103137-S6-BH14,0.5,3,1.75,Fine,Glaciolacustrine,2,0,0.153825313
414,174-18,2.4,3,2.7,Coarse,Glaciolacustrine,2,45,0.373056966
415,174-37,4.1,5.3,4.7,Coarse,Glaciolacustrine,2,8,0.215231972
416,174-37,1.5,4.1,2.8,Coarse,Glaciolacustrine,2,45,0.372234512
417,174-39,1.7,6.1,3.9,Coarse,Glaciolacustrine,2,45,0.363236872
418,174-39,1,1.7,1.35,Coarse,Glaciolacustrine,2,45,0.384229872
419,174-53,4.6,10.7,7.65,Coarse,Glaciolacustrine,2,8,0.198175387
420,174-60,0.5,1.5,1,Coarse,Glaciolacustrine,2,8,0.238081793
421,174-60,3.3,4.6,3.95,Coarse,Glaciolacustrine,2,8,0.21973294
422,174-60,6.1,10.7,8.4,Coarse,Glaciolacustrine,2,8,0.194003322
423,19A-06,4,5,4.5,Coarse,Glaciolacustrine,3,0,0.071149476
424,307-12-3,7.3,8.4,7.85,Coarse,Glaciolacustrine,2,0,0.174017549
425,307-12-3,2.4,4.6,3.5,Coarse,Glaciolacustrine,2,0,0.197206734
426,307-12-3,6.1,7.3,6.7,Coarse,Glaciolacustrine,2,0,0.179932739
427,307-7-10,4.1,9.4,6.75,Coarse,Glaciolacustrine,3,0,0.066009458
428,307-8-7,4.6,10,7.3,Coarse,Glaciolacustrine,3,8,0.074831207
429,307-8-8,4,7.9,5.95,Coarse,Glaciolacustrine,3,0,0.067797166
430,309-03,4.6,5.5,5.05,Coarse,Glaciolacustrine,2,45,0.353930972
431,309-03,7.6,9.1,8.35,Coarse,Glaciolacustrine,2,8,0.194279392
432,309-03,3,4.6,3.8,Coarse,Glaciolacustrine,2,45,0.364051028
433,309-03,5.9,7.2,6.55,Coarse,Glaciolacustrine,2,8,0.204414826
434,309-03,9.1,10.7,9.9,Coarse,Glaciolacustrine,2,8,0.185858211
435,309-11,5.8,7.6,6.7,Coarse,Glaciolacustrine,2,45,0.340770167
436,309-22,5.8,7.6,6.7,Coarse,Glaciolacustrine,2,8,0.203555552
437,309-22,7.6,10.7,9.15,Coarse,Glaciolacustrine,2,8,0.189897659
438,309-25,9.1,10.4,9.75,Coarse,Glaciolacustrine,2,45,0.317083927
439,309-38,0.6,1.5,1.05,Coarse,Glaciolacustrine,2,8,0.237762265
440,309-51,3,5.8,4.4,Coarse,Glaciolacustrine,2,0,0.192226631
441,309-51,5.8,6.6,6.2,Coarse,Glaciolacustrine,2,45,0.344733705
442,312-01,4.6,5,4.8,Coarse,Glaciolacustrine,2,45,0.355944947
443,312-12,5.8,6.1,5.95,Coarse,Glaciolacustrine,2,0,0.183873469
444,312-16,6.7,7.6,7.15,Coarse,Glaciolacustrine,2,45,0.337221781
445,312-16,7.6,8,7.8,Coarse,Glaciolacustrine,2,45,0.33212841
446,312-16,1.2,2.4,1.8,Coarse,Glaciolacustrine,2,45,0.380491414
447,312-16,8,9.1,8.55,Coarse,Glaciolacustrine,2,45,0.326299593
448,325-1-13,5.5,10,7.75,Coarse,Glaciolacustrine,2,8,0.19761527
449,325-1-15,1.8,6.4,4.1,Coarse,Glaciolacustrine,2,0,0.193876038
450,325-1-17,2,11.3,6.65,Coarse,Glaciolacustrine,2,8,0.20384168
451,325-1-2,2.1,6.1,4.1,Coarse,Glaciolacustrine,2,8,0.218827413
452,325-1-21,1.7,10.4,6.05,Coarse,Glaciolacustrine,2,8,0.207298344
453,325-1-23,6.9,10,8.45,Coarse,Glaciolacustrine,2,8,0.193727547
454,325-1-25,4.3,5.6,4.95,Coarse,Glaciolacustrine,2,0,0.189230272
455,325-1-27,2.9,5.8,4.35,Coarse,Glaciolacustrine,2,0,0.192500795
456,325-1-28,2.7,7.8,5.25,Coarse,Glaciolacustrine,2,0,0.187610901
457,325-1-29,2.4,7,4.7,Coarse,Glaciolacustrine,2,0,0.190587836
458,325-1-3,3.7,6.9,5.3,Coarse,Glaciolacustrine,3,8,0.07992575
459,325-1-34,0.8,10,5.4,Coarse,Glaciolacustrine,2,8,0.21109125
460,325-1-35,0.8,10,5.4,Coarse,Glaciolacustrine,2,8,0.21109125
461,325-1-39,0.6,5.8,3.2,Coarse,Glaciolacustrine,2,0,0.198888043
462,325-1-4,2.4,10,6.2,Coarse,Glaciolacustrine,2,8,0.206430175
463,325-1-40,0.9,7.3,4.1,Coarse,Glaciolacustrine,2,0,0.193876038
464,325-1-5,2.4,10,6.2,Coarse,Glaciolacustrine,3,8,0.077595922
465,325-1-7,4.9,8.7,6.8,Coarse,Glaciolacustrine,3,8,0.07607673
466,325-1-9,3.1,7.2,5.15,Coarse,Glaciolacustrine,3,0,0.069628613
467,ENG.YARC03097-01//TVC_H (NTGS 5),13,16.7,14.85,Coarse,Glaciolacustrine,3,0,0.050178925
468,ENG.YARC03097-01//TVC_H (NTGS 5),11.7,13,12.35,Coarse,Glaciolacustrine,3,8,0.063244457
469,ENG.YARC03097-01//TVC_H (NTGS 5),17.6,20.1,18.85,Coarse,Glaciolacustrine,3,0,0.043721306
470,I401A - 20,0,1.1,0.55,Coarse,Glaciolacustrine,2,0,0.214202794
471,KP7 - P1,7.8,9.8,8.8,Coarse,Glaciolacustrine,3,8,0.071204005
472,KP7 - P2,1.5,2.3,1.9,Coarse,Glaciolacustrine,2,8,0.23237515
473,174-37,5.3,6.1,5.7,Coarse,Glaciolacustrine,2,8,0.209334449
474,174-53,1.5,4.6,3.05,Coarse,Glaciolacustrine,2,8,0.225222041
475,19A-01,6.4,8.2,7.3,Coarse,Glaciolacustrine,2,0,0.176827387
476,19A-05,3.7,4.3,4,Coarse,Glaciolacustrine,2,0,0.194428201
477,19A-10,1.5,4.6,3.05,Coarse,Glaciolacustrine,2,8,0.225222041
478,19A-10,5.2,13,9.1,Coarse,Glaciolacustrine,2,45,0.322058641
479,309-22,1,2.6,1.8,Coarse,Glaciolacustrine,2,8,0.233004524
480,309-25,1.5,7.6,4.55,Coarse,Glaciolacustrine,2,8,0.216126831
481,309-25,8,9.1,8.55,Coarse,Glaciolacustrine,2,45,0.326299593
482,309-25,13.7,15.2,14.45,Coarse,Glaciolacustrine,2,8,0.162755893
483,309-25,10.7,13.7,12.2,Coarse,Glaciolacustrine,2,8,0.173880874
484,309-25,7.6,8,7.8,Coarse,Glaciolacustrine,2,45,0.33212841
485,309-29,1.5,7.4,4.45,Coarse,Glaciolacustrine,2,8,0.216724886
486,309-38,1.5,5.5,3.5,Coarse,Glaciolacustrine,2,8,0.222465509
487,312-01,1.2,4.6,2.9,Coarse,Glaciolacustrine,2,8,0.226146205
488,312-01,5,9.1,7.05,Coarse,Glaciolacustrine,2,45,0.338008755
489,312-04,6.1,8.2,7.15,Coarse,Glaciolacustrine,2,8,0.200993728
490,312-04,5.5,6.1,5.8,Coarse,Glaciolacustrine,2,45,0.347920086
491,312-04,1,5.5,3.25,Coarse,Glaciolacustrine,2,8,0.223993959
492,312-12,3,5.8,4.4,Coarse,Glaciolacustrine,2,0,0.192226631
493,312-23,2.7,4,3.35,Coarse,Glaciolacustrine,2,8,0.223381692
494,325-1-14,7.5,9.2,8.35,Coarse,Glaciolacustrine,2,8,0.194279392
495,325-1-15,6.4,9.8,8.1,Coarse,Glaciolacustrine,2,0,0.172751928
496,325-1-16,4.9,10,7.45,Coarse,Glaciolacustrine,2,0,0.176057589
497,325-1-26,5.6,9.5,7.55,Coarse,Glaciolacustrine,2,0,0.17554584
498,GSC3 - 16,13.1,15.2,14.15,Coarse,Glaciolacustrine,3,45,0.114355612
499,I401A - 20,2.6,3.8,3.2,Coarse,Glaciolacustrine,2,0,0.198888043
500,I401A - 57,4.3,6.1,5.2,Coarse,Glaciolacustrine,2,0,0.187880062
501,W14103137-CRA3N,3.2,3.6,3.4,Coarse,Glaciolacustrine,3,8,0.085050776
502,170-1-5,2.4,7.2,4.8,Organics,Glaciolacustrine,2,87,0.550604885
503,19A-11,0,0.2,0.1,Organics,Glaciolacustrine,2,8,0.243492144
504,2.45-1-15,2.1,3.7,2.9,Organics,Glaciolacustrine,2,87,0.567077178
505,2.45-1-15,0.15,2.1,1.125,Organics,Glaciolacustrine,2,45,0.385602273
506,309-51,0.1,0.6,0.35,Organics,Glaciolacustrine,2,0,0.215033748
507,312-12,0,1.5,0.75,Organics,Glaciolacustrine,2,8,0.239297277
508,312-18,0.2,0.6,0.4,Organics,Glaciolacustrine,2,8,0.241549927
509,325-1-34,0,0.3,0.15,Organics,Glaciolacustrine,2,8,0.243167713
510,AH109.6C,3.4,5,4.2,Organics,Glaciolacustrine,3,8,0.082695208
511,AH109.6C,0.3,1.9,1.1,Organics,Glaciolacustrine,3,45,0.169775442
512,AH109.6C,2.6,3.4,3,Organics,Glaciolacustrine,3,45,0.160520546
513,AH109.6C,1.9,2.6,2.25,Organics,Glaciolacustrine,3,8,0.088120588
514,AH109.6N,0.6,1.3,0.95,Organics,Glaciolacustrine,3,87,0.313930698
515,AH109.6N,1.3,3,2.15,Organics,Glaciolacustrine,3,45,0.16461002
516,AH109.6S,4,4.6,4.3,Organics,Glaciolacustrine,3,8,0.082425183
517,AH109.6S,0.2,0.6,0.4,Organics,Glaciolacustrine,3,45,0.173289401
518,AH109.6S,3.3,4,3.65,Organics,Glaciolacustrine,3,45,0.157448442
519,AH112.2S,0,0.3,0.15,Organics,Glaciolacustrine,3,0,0.081959708
520,ENG.YARC03097-01//HUS_P (NTGS 8),2.9,3.7,3.3,Organics,Glaciolacustrine,3,8,0.085161147
521,ENG.YARC03097-01//HUS_P (NTGS 8),0,0.9,0.45,Organics,Glaciolacustrine,3,87,0.317733598
522,ENG.YARC03097-01//HUS_P (NTGS 8),1.5,2.9,2.2,Organics,Glaciolacustrine,3,8,0.088263763
523,ENG.YARC03097-01//HUS_P (NTGS 8),4.5,5.4,4.95,Organics,Glaciolacustrine,3,8,0.080689129
524,ENG.YARC03097-01//HUS_P (NTGS 8),3.7,4.5,4.1,Organics,Glaciolacustrine,3,45,0.155349416
525,ENG.YARC03097-01//HUS_P (NTGS 8),0.9,1.5,1.2,Organics,Glaciolacustrine,3,45,0.169278054
526,ENG.YARC03097-01//TVC_H (NTGS 5),1.4,2,1.7,Organics,Glaciolacustrine,3,45,0.166808323
527,ENG.YARC03097-01//TVC_H (NTGS 5),1.2,1.4,1.3,Organics,Glaciolacustrine,3,45,0.168781814
528,ENG.YARC03097-01//TVC_P (NTGS 4),1.2,2.6,1.9,Organics,Glaciolacustrine,3,45,0.165828445
529,ENG.YARC03097-01//TVC_P (NTGS 4),2.6,4.1,3.35,Organics,Glaciolacustrine,3,87,0.296025734
530,ENG.YARC03097-01//TVC_P (NTGS 4),0,1.2,0.6,Organics,Glaciolacustrine,3,8,0.092955476
531,GSC3 - 31,0,0.8,0.4,Organics,Glaciolacustrine,3,8,0.093557155
532,GSC4 - 14,0.3,1.8,1.05,Organics,Glaciolacustrine,3,45,0.170024568
533,GSC4 - 14,0,0.3,0.15,Organics,Glaciolacustrine,3,8,0.094314077
534,GSC4 - 16,0,1.5,0.75,Organics,Glaciolacustrine,3,45,0.171525361
535,GSC4 - 18,0,1.2,0.6,Organics,Glaciolacustrine,3,45,0.172279647
536,GSC4 - 19,0,1.5,0.75,Organics,Glaciolacustrine,3,45,0.171525361
537,GSC4 - 49,0,1.5,0.75,Organics,Glaciolacustrine,3,45,0.171525361
538,GSC4 - 55,0,0.9,0.45,Organics,Glaciolacustrine,3,45,0.17303653
539,GSC4 - 6,0,0.3,0.15,Organics,Glaciolacustrine,3,45,0.174558096
540,GSC4 - 7,0,1.2,0.6,Organics,Glaciolacustrine,3,8,0.092955476
541,GSC4 - 8,0,0.2,0.1,Organics,Glaciolacustrine,3,45,0.174812703
542,GSC4 - 9,0,1.3,0.65,Organics,Glaciolacustrine,3,45,0.17202793
543,PW10 - 18,2.1,3.7,2.9,Organics,Glaciolacustrine,2,8,0.225774885
544,PW10 - 8,0.2,1.4,0.8,Organics,Glaciolacustrine,3,8,0.092357212
545,PW12 - P3,0,0.6,0.3,Organics,Glaciolacustrine,3,8,0.093859279
546,PW13 - 58,0,0.2,0.1,Organics,Glaciolacustrine,3,45,0.174812703
547,PW6 - P21,0,0.3,0.15,Organics,Glaciolacustrine,3,8,0.094314077
548,PW6 - P6,0,0.2,0.1,Organics,Glaciolacustrine,3,45,0.174812703
549,PW9 - P6,0.2,1.8,1,Organics,Glaciolacustrine,3,8,0.091762348
550,PW9 - P8,0,1.5,0.75,Organics,Glaciolacustrine,3,45,0.171525361
551,W14103137-AH48.9N,0,0.6,0.3,Organics,Glaciolacustrine,3,0,0.081558182
552,W14103137-AH48.9S,0,0.6,0.3,Organics,Glaciolacustrine,3,0,0.081558182
553,W14103137-AH48.9S,0.6,1.5,1.05,Organics,Glaciolacustrine,3,45,0.170024568
554,W14103137-AH90.3N,0.3,0.6,0.45,Organics,Glaciolacustrine,3,45,0.17303653
555,W14103137-AH90.3N,1.8,2.3,2.05,Organics,Glaciolacustrine,3,45,0.165096535
556,W14103137-AH90.3N,0.6,1.8,1.2,Organics,Glaciolacustrine,3,8,0.09117087
557,W14103137-CR15N,0,1.2,0.6,Organics,Glaciolacustrine,3,45,0.172279647
558,W14103137-CR15S,1.2,2,1.6,Organics,Glaciolacustrine,3,45,0.167299978
559,W14103137-CR15S,0,1.2,0.6,Organics,Glaciolacustrine,3,45,0.172279647
560,W14103137-CR17aS,0.1,1.2,0.65,Organics,Glaciolacustrine,2,45,0.389568378
561,W14103137-CR17aS,1.2,2.4,1.8,Organics,Glaciolacustrine,2,45,0.379992208
562,W14103137-CR18N,0,1.8,0.9,Organics,Glaciolacustrine,3,8,0.092059356
563,W14103137-CR18S,0,1.8,0.9,Organics,Glaciolacustrine,3,87,0.314309884
564,W14103137-CR21N,1.3,1.5,1.4,Organics,Glaciolacustrine,3,8,0.090582763
565,W14103137-CR21N,0.8,1.3,1.05,Organics,Glaciolacustrine,3,8,0.091614161
566,W14103137-CR23aS,0,0.4,0.2,Organics,Glaciolacustrine,2,45,0.39333919
567,W14103137-CR35aN,1.8,2,1.9,Organics,Glaciolacustrine,3,87,0.306773387
568,W14103137-CR3N,0.4,0.5,0.45,Organics,Glaciolacustrine,2,8,0.241227244
569,W14103137-CR3N,1.4,2.8,2.1,Organics,Glaciolacustrine,2,87,0.573971163
570,W14103137-CR3N,1.15,1.4,1.275,Organics,Glaciolacustrine,2,45,0.384352921
571,W14103137-CR3N,0.5,1.15,0.825,Organics,Glaciolacustrine,2,45,0.388105461
572,W14103137-CR3S,1.7,1.9,1.8,Organics,Glaciolacustrine,2,45,0.379992208
573,W14103137-CR3S,2.1,2.2,2.15,Organics,Glaciolacustrine,2,45,0.377095676
574,W14103137-CR3S,0,0.5,0.25,Organics,Glaciolacustrine,2,8,0.242519724
575,W14103137-CR4N,1.2,1.8,1.5,Organics,Glaciolacustrine,2,45,0.382481736
576,W14103137-CR4N,0.6,1,0.8,Organics,Glaciolacustrine,2,45,0.388314327
577,W14103137-CR4N,0.2,0.6,0.4,Organics,Glaciolacustrine,2,45,0.391661684
578,W14103137-CR4S,2.1,3.2,2.65,Organics,Glaciolacustrine,2,45,0.372972904
579,W14103137-CR4S,1.2,1.6,1.4,Organics,Glaciolacustrine,2,45,0.38331295
580,W14103137-CR4S,0.3,0.5,0.4,Organics,Glaciolacustrine,2,45,0.391661684
581,W14103137-CR8N,1,2.4,1.7,Organics,Glaciolacustrine,2,45,0.380821361
582,W14103137-CR8S,0.6,1.3,0.95,Organics,Glaciolacustrine,2,45,0.387061744
583,W14103137-CR8S,1.7,2.1,1.9,Organics,Glaciolacustrine,2,8,0.231996729
584,W14103137-CR8S,4.9,5.4,5.15,Organics,Glaciolacustrine,2,0,0.187825039
585,W14103137-CRA12S,0.3,0.95,0.625,Organics,Glaciolacustrine,3,45,0.172153752
586,W14103137-CRA3N,2.3,2.4,2.35,Organics,Glaciolacustrine,3,45,0.163640408
587,W14103137-CRA3N,0.1,1.4,0.75,Organics,Glaciolacustrine,3,45,0.171525361
588,W14103137-CRA3N,1.4,2.3,1.85,Organics,Glaciolacustrine,3,45,0.166072986
589,170-1-17,0.6,2.3,1.45,Coarse,Glaciolacustrine,2,0,0.208908163
590,170-1-18,5.5,6.9,6.2,Coarse,Glaciolacustrine,3,87,0.275971596
591,170-1-37,0.6,2.1,1.35,Coarse,Glaciolacustrine,2,8,0.235851248
592,170-1-37,2.1,3.5,2.8,Coarse,Glaciolacustrine,2,0,0.201146359
593,172-2-2,4,4.9,4.45,Coarse,Glaciolacustrine,3,8,0.082183417
594,172-2-4,2.1,4,3.05,Coarse,Glaciolacustrine,2,45,0.3701816
595,172-2-4,5.2,6.9,6.05,Coarse,Glaciolacustrine,2,0,0.183344239
596,172-2-6,1.2,1.9,1.55,Coarse,Glaciolacustrine,2,0,0.208325802
597,174-60,5.8,6.1,5.95,Coarse,Glaciolacustrine,2,8,0.207878605
598,174-60,3,3.3,3.15,Coarse,Glaciolacustrine,2,8,0.224607409
599,177 South - 3,5.6,6.1,5.85,Coarse,Glaciolacustrine,3,45,0.147668597
600,177 South - 5,1.5,2.2,1.85,Coarse,Glaciolacustrine,2,45,0.380076888
601,19A-01,1.5,3,2.25,Coarse,Glaciolacustrine,2,45,0.376766984
602,19A-01,4.6,6.1,5.35,Coarse,Glaciolacustrine,2,45,0.351520985
603,19A-01,3,4.6,3.8,Coarse,Glaciolacustrine,2,45,0.364051028
