"","Borehole.ID","Top.depth","Bottom.depth","Depth","Thickness","Material","Material.simplified","ASTM","Reinterpreted","Frozen","Visible.ice","Mid_VI","Cryostructures","VRM","Slope","Organic.cover..m.","Mineral.soil..logs..first.3.m.","Surficial.materials..Rampton.1987.map.","Holocene.deposits","Holocene.conf","Deposit.type","Deposit.type.conf","Notes","predicted_EI_beta"
"23","309-22",2.6,5.8,4.2,3.2,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vx/Nbn","Smooth","Undulating",0.1,"Silt/gravel","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near thermokarst lakes",0.282866668934608
"24","309-38",0.1,0.6,0.35,0.5,"Clay","Fine","CH","No","Yes","Medium to high",45,"Nbn","Moderately rugged","Undulating",0.1,"Clay/till","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near thermokarst lakes",0.311031241682843
"25","309-51",0.6,1.5,1.05,0.9,"Clay","Fine","CL","No","Yes","Low",8,"Nbe","Smooth","Undulating",0.6,"Clay/sand","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near thermokarst lakes",0.17933563367399
"26","312-04",8.2,8.5,8.35,0.3,"Clay","Fine","CH","No","Yes","Medium to high",45,"Nbn","Rugged","Steep",0.1,"Clay/gravel","Alluvial","Organics",3,"Glaciolacustrine",2,"Near braided river system",0.254303946246522
"27","312-04",0.1,1,0.55,0.9,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Nbn","Rugged","Steep",0.1,"Clay/gravel","Alluvial","Organics",3,"Glaciolacustrine",2,"Near braided river system",0.309530600598392
"28","312-12",1.5,3,2.25,1.5,"Clay","Fine","CL","No","Yes","Low",8,"Vx/Nbe","Moderately rugged","Undulating",1.5,"Clay","Alluvial","Organics",3,"Glaciolacustrine",2,"",0.173226911547832
"29","312-16",0.1,1.2,0.65,1.1,"Clay","Fine","CH","No","Yes","Medium to high",45,"Nbn","Smooth","Flat",0.1,"Clay/till","Alluvial","Organics",3,"Glaciolacustrine",2,"",0.308781779935759
"30","312-18",3.8,4.6,4.2,0.8,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vs","Smooth","Undulating",0.6,"Silt/sand","Alluvial","Organics",3,"Glaciolacustrine",2,"",0.282866668934608
"31","312-23",0.1,0.3,0.2,0.3,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.1,"Clay/sand","Alluvial","Organics",3,"Glaciolacustrine",1,"Near braided river system",0.580947414955141
"32","AH112.2C",2.1,3.5,2.8,1.4,"Clay","Fine",NA,"No","Yes","No visible ice",0,"Nbn","Smooth","Flat",0,"Sand/clay","Glaciolacustrine","None",1,"Glaciolacustrine",2,"Near ice wedge polygons and thermokarst lakes",0.150104583186383
"33","AH112.2C",3.5,4.4,3.95,0.9,"Clay","Fine",NA,"No","Yes","Low",8,"Vx","Smooth","Flat",0,"Sand/clay","Glaciolacustrine","None",1,"Glaciolacustrine",2,"Near ice wedge polygons and thermokarst lakes",0.164856103463243
"34","AH112.2C",1.5,2.1,1.8,0.6,"Clay","Fine",NA,"No","Yes","Medium to high",45,"Vs","Smooth","Flat",0,"Sand/clay","Glaciolacustrine","None",1,"Glaciolacustrine",2,"Near ice wedge polygons and thermokarst lakes",0.300243095720585
"35","AH112.2C",1,1.5,1.25,0.6,"Clay","Fine",NA,"No","Yes","Low",8,"Vx","Smooth","Flat",0,"Sand/clay","Glaciolacustrine","None",1,"Glaciolacustrine",2,"Near ice wedge polygons and thermokarst lakes",0.178305946939629
"36","AH112.2C",4.4,7.8,6.1,3.4,"Clay","Fine",NA,"No","Yes","Low",8,"Vs","Smooth","Flat",0,"Sand/clay","Glaciolacustrine","None",1,"Glaciolacustrine",2,"Near ice wedge polygons and thermokarst lakes",0.154738234687602
"37","AH112.2N",3,5.2,4.1,2.2,"Clay","Fine",NA,"No","Yes","Low",8,"Vx","Smooth","Flat",0.1,"Clay","Glaciolacustrine","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.0603981671962348
"38","AH112.2N",0.1,3,1.55,2.9,"Clay","Fine",NA,"No","Yes","Medium to high",45,"Vx","Smooth","Flat",0.1,"Clay","Glaciolacustrine","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.124108867788309
"39","AH112.2S",1.5,5.2,3.35,3.7,"Clay","Fine",NA,"No","Yes","No visible ice",0,"Nbn","Smooth","Undulating",0.3,"Clay","Glaciolacustrine","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.0536682461119553
"40","AH112.2S",0.3,1.5,0.9,1.2,"Clay","Fine",NA,"No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.3,"Clay","Glaciolacustrine","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.126607508701468
"41","ENG.YARC03097-01//HUS_P (NTGS 8)",6.1,10.4,8.25,4.3,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Undulating",5.5,"Silt/clay","Glaciofluvial (outwash)","Organics",3,"Glaciolacustrine",3,"Within ice wedge polygons",0.100743636543011
"42","ENG.YARC03097-01//I401A_Pit (NTGS 15)",0.9,5.9,3.4,5,"Clay","Fine","CL-ML","No","Yes","Low",8,"","Rugged","Rolling",0,"Silt/clay","Colluvial","Colluvial",2,"Glaciolacustrine",2,"Reworked rolling hills",0.167528195874983
"43","ENG.YARC03097-01//TVC_H (NTGS 5)",2,11.7,6.85,9.7,"Clay","Fine","CL","No","Yes","Low",8,"Vx","Smooth","Undulating",2,"Clay/till","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0551528745850245
"44","ENG.YARC03097-01//TVC_P (NTGS 4)",6.7,9,7.85,2.3,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",4,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Within ice wedge polygons",0.10202128892069
"45","ENG.YARC03097-01//TVC_P (NTGS 4)",9,10.1,9.55,1.1,"Clay","Fine","CL","No","Yes","Low",8,"","Smooth","Undulating",4,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Within ice wedge polygons",0.0504225752425406
"46","GSC1A - P1",1.5,8,4.75,6.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.112418005452298
"47","GSC1A - P1",8,10.1,9.05,2.1,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0982309015019455
"48","GSC1A - P1",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.127190192578752
"49","GSC1A - P4",1.5,6,3.75,4.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.115964191081302
"50","GSC1A - P4",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vc","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.127190192578752
"51","GSC1A - P5",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.127190192578752
"52","GSC1A - P5",1.5,8,4.75,6.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.112418005452298
"53","GSC1A - P5",8,9,8.5,1,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0999523361856761
"54","GSC1A - P6",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.127190192578752
"55","GSC3 - 14",0.6,2,1.3,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vc","Smooth","Undulating",0.2,"Clay","Lacustrine","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons",0.125064836278526
"56","GSC3 - 14",0.2,0.6,0.4,0.4,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Undulating",0.2,"Clay","Lacustrine","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons",0.128558700636472
"57","GSC3 - 16",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Low",8,"Vx","Smooth","Flat",0,"Clay","Lacustrine","None",2,"Glaciolacustrine",3,"Near ice wedge polygons",0.0674180519729253
"58","GSC3 - 16",4.6,7.3,5.95,2.7,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nbn","Smooth","Flat",0,"Clay","Lacustrine","None",2,"Glaciolacustrine",3,"Near ice wedge polygons",0.0492224911509826
"59","GSC3 - 16",2.1,4.6,3.35,2.5,"Clay","Fine","CL","No","Yes","Low",8,"Vx","Smooth","Flat",0,"Clay","Lacustrine","None",2,"Glaciolacustrine",3,"Near ice wedge polygons",0.0619078065713835
"60","GSC3 - 17",0,1.8,0.9,1.8,"Clay","Fine","CL","No","Yes","Low",8,"Vx/Vc","Moderately rugged","Flat",0,"Clay","Lacustrine","None",2,"Glaciolacustrine",3,"Near ice wedge polygons",0.0670881486177457
"61","GSC3 - 24",2.1,3.4,2.75,1.3,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Undulating",0.2,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons",0.119607165611075
"62","GSC3 - 24",0.2,2.1,1.15,1.9,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Undulating",0.2,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons",0.125641441678053
"63","GSC3 - 25",1.4,2.1,1.75,0.7,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Moderately rugged","Rolling",0.2,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons",0.056589682506423
"64","GSC3 - 31",0.8,3.7,2.25,2.9,"Clay","Fine","CL","No","Yes","Low",8,"Nbe","Smooth","Undulating",0.8,"Clay","Lacustrine","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons",0.0641857843168573
"65","GSC3 - 7",0.2,1.8,1,1.6,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vc/Vr","Smooth","Flat",0.2,"Clay","Lacustrine","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons",0.126220321979944
"66","GSC3 - 7",3.1,3.4,3.25,0.3,"Clay","Fine","CL","No","Yes","Low",8,"Nbe","Smooth","Flat",0.2,"Clay","Lacustrine","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons",0.06211173521756
"67","GSC4 - 11",4.3,4.7,4.5,0.4,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"","Smooth","Undulating",0,"Silt","Hummocky","None",2,"Glaciolacustrine",3,"",0.113295571163962
"68","GSC4 - 12",2.1,2.9,2.5,0.8,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Smooth","Undulating",0,"Silt/clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0552020958299411
"69","GSC4 - 12",2.9,6.1,4.5,3.2,"Clay","Fine","CL-ML","No","Yes","Low",8,"Vx/Vr","Smooth","Undulating",0,"Silt/clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0596071763675493
"70","GSC4 - 13",0,1.5,0.75,1.5,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.127190192578752
"71","GSC4 - 13",3.1,4.9,4,1.8,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0525225206808244
"72","GSC4 - 13",4.9,6.1,5.5,1.2,"Clay","Fine","CL-ML","No","Yes","Low",8,"Nbe","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0576719590434243
"73","GSC4 - 13",1.5,3.1,2.3,1.5,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vr","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.121278531803009
"74","GSC4 - 14",5.5,6,5.75,0.5,"Clay","Fine","CL-ML","No","Yes","Low",8,"","Smooth","Undulating",1.8,"Silt","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0571974508875414
"75","GSC4 - 14",3.7,4.2,3.95,0.5,"Clay","Fine","CL-ML","No","Yes","Low",8,"","Smooth","Undulating",1.8,"Silt","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0606973132273818
"76","GSC4 - 16",3.5,6,4.75,2.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Rolling",1.5,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.112418005452298
"77","GSC4 - 16",1.5,3.5,2.5,2,"Clay","Fine","CL-ML","No","Yes","Low",8,"","Smooth","Rolling",1.5,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0636613029616624
"78","GSC4 - 18",5.5,6,5.75,0.5,"Clay","Fine","CL","No","Yes","Low",8,"","Smooth","Undulating",1.2,"Silt","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0571974508875414
"79","GSC4 - 19",1.5,2.4,1.95,0.9,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"","Smooth","Rolling",1.5,"Clay/silt","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"",0.122592367128541
"80","GSC4 - 36",2.4,3.1,2.75,0.7,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vx","Smooth","Flat",0,"Silt/clay","Glaciofluvial (ice-contact)","None",2,"Glaciolacustrine",3,"",0.119607165611075
"81","GSC4 - 36",3.1,5.2,4.15,2.1,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"","Smooth","Flat",0,"Silt/clay","Glaciofluvial (ice-contact)","None",2,"Glaciolacustrine",3,"",0.114534197534512
"82","GSC4 - 40",2.4,3,2.7,0.6,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nf","Smooth","Flat",0,"Silt/clay","Glaciofluvial (ice-contact)","None",2,"Glaciolacustrine",3,"",0.0548375178594411
"83","GSC4 - 44",0,4,2,4,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nf","Smooth","Undulating",0,"Clay","Glaciofluvial (ice-contact)","None",2,"Glaciolacustrine",3,"",0.0561235486609212
"84","GSC4 - 5",0,1.8,0.9,1.8,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.126607508701468
"85","GSC4 - 5",1.8,3.4,2.6,1.5,"Clay","Fine","CL-ML","No","Yes","Low",8,"","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0634526308921419
"86","GSC4 - 5",4.9,6.1,5.5,1.2,"Clay","Fine","CL-ML","No","Yes","Low",8,"Nbe","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0576719590434243
"87","GSC4 - 55",1.5,1.9,1.7,0.4,"Clay","Fine","CL-ML","No","Yes","Low",8,"Vx","Smooth","Rolling",0.9,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0653538385007207
"88","GSC4 - 6",5.5,6.1,5.8,0.6,"Clay","Fine","CL-ML","No","Yes","Low",8,"Vx/Nbn","Smooth","Undulating",0.3,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0571029903335674
"89","GSC4 - 6",0.3,5.5,2.9,5.2,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"","Smooth","Undulating",0.3,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.119054482528051
"90","GSC4 - 7",1.2,3.1,2.15,1.8,"Clay","Fine","CL-ML","No","Yes","Low",8,"","Smooth","Undulating",1.2,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0643967016706098
"91","GSC4 - 8",3.1,5.2,4.15,2.1,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"","Smooth","Undulating",0.2,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.114534197534512
"92","GSC4 - 8",5.2,6.1,5.65,0.9,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Smooth","Undulating",0.2,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0497170795554214
"93","GSC4 - 8",1.5,3.1,2.3,1.5,"Clay","Fine","CL-ML","No","Yes","Low",8,"","Smooth","Undulating",0.2,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.06408056708472
"94","GSC4 - 9",1.3,3.1,2.2,1.8,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Smooth","Undulating",1.3,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0557532441461635
"95","I401A - 33",4.4,5.9,5.15,1.5,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Rugged","Undulating",0,"Silt","Colluvial","Colluvial",2,"Glaciolacustrine",2,"",0.139893644901066
"96","I401A - 33",7.2,7.6,7.4,0.4,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Rugged","Undulating",0,"Silt","Colluvial","Colluvial",2,"Glaciolacustrine",2,"",0.130668596503267
"97","I401A - 33",5.9,7.2,6.55,1.3,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vx","Rugged","Undulating",0,"Silt","Colluvial","Colluvial",2,"Glaciolacustrine",2,"",0.266455953501173
"98","I401A - 34",3,3.8,3.4,0.8,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vx","Rugged","Undulating",0,"Till/clay","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.288590888007863
"99","I401A - 34",2.3,3,2.65,0.7,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"","Rugged","Undulating",0,"Till/clay","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.150776738684046
"100","I401A - 34",3.8,6.1,4.95,2.3,"Clay","Fine","CL-ML","No","Yes","Low",8,"","Rugged","Undulating",0,"Till/clay","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.160085545632374
"101","I401A - 35",2.4,6.1,4.25,3.7,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Rugged","Flat",0,"Sand/clay","Colluvial","Colluvial",2,"Glaciolacustrine",2,"",0.143733718177961
"102","I401A - 35",1.5,2.4,1.95,0.9,"Clay","Fine","CL","No","Yes","Low",8,"Vx/Vr","Rugged","Flat",0,"Sand/clay","Colluvial","Colluvial",2,"Glaciolacustrine",2,"",0.174738502775228
"103","I401A - 35",0.5,1.5,1,1,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nbn","Rugged","Flat",0,"Sand/clay","Colluvial","Colluvial",2,"Glaciolacustrine",2,"",0.158334626808012
"104","I401A - 43",3,4.6,3.8,1.6,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Rugged","Flat",0,"Silt","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.145686434427427
"105","I401A - 43",4.6,6.1,5.35,1.5,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vx","Rugged","Flat",0,"Silt","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.274759751156884
"106","I401A - 52",4.1,5.6,4.85,1.5,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Rugged","Rolling",0,"Silt/clay","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.14116403069231
"107","I401A - 52",2.6,3.4,3,0.8,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Rugged","Rolling",0,"Silt/clay","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.149212216024131
"108","I401A - 52",1.1,2.3,1.7,1.2,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Rugged","Rolling",0,"Silt/clay","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.155091339388842
"109","I401A - 52",2.3,2.6,2.45,0.3,"Clay","Fine","CL-ML","No","Yes","Low",8,"Vx","Rugged","Rolling",0,"Silt/clay","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.172224938400035
"110","I401A - 52",3.4,4.1,3.75,0.7,"Clay","Fine","CL-ML","No","Yes","Low",8,"Vx","Rugged","Rolling",0,"Silt/clay","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.165823794105649
"111","I401A - 57",0,3.8,1.9,3.8,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nf","Rugged","Undulating",0,"Clay","Colluvial","Colluvial",1,"Glaciolacustrine",2,"",0.154174704046443
