Borehole.ID,Top.depth,Bottom.depth,Depth,Thickness,Material,Material.simplified,ASTM,Reinterpreted,Frozen,Visible.ice,Mid_VI,Cryostructures,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
312-04,8.2,8.5,8.35,0.3,Clay,Fine,CH,No,Yes,Medium to high,45,Nbn,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system
312-04,0.1,1,0.55,0.9,Clay,Fine,CL,No,Yes,Medium to high,45,Vx/Nbn,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system
312-12,1.5,3,2.25,1.5,Clay,Fine,CL,No,Yes,Low,8,Vx/Nbe,Moderately rugged,Undulating,1.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,
312-16,0.1,1.2,0.65,1.1,Clay,Fine,CH,No,Yes,Medium to high,45,Nbn,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,
312-18,3.8,4.6,4.2,0.8,Clay,Fine,CL,No,Yes,Medium to high,45,Vs,Smooth,Undulating,0.6,Silt/sand,Alluvial,Organics,3,Glaciolacustrine,2,
312-23,0.1,0.3,0.2,0.3,Clay,Fine,CH,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0.1,Clay/sand,Alluvial,Organics,3,Glaciolacustrine,1,Near braided river system
AH112.2C,2.1,3.5,2.8,1.4,Clay,Fine,NA,No,Yes,No visible ice,0,Nbn,Smooth,Flat,0,Sand/clay,Glaciolacustrine,None,1,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
AH112.2C,3.5,4.4,3.95,0.9,Clay,Fine,NA,No,Yes,Low,8,Vx,Smooth,Flat,0,Sand/clay,Glaciolacustrine,None,1,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
AH112.2C,1.5,2.1,1.8,0.6,Clay,Fine,NA,No,Yes,Medium to high,45,Vs,Smooth,Flat,0,Sand/clay,Glaciolacustrine,None,1,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
AH112.2C,1,1.5,1.25,0.6,Clay,Fine,NA,No,Yes,Low,8,Vx,Smooth,Flat,0,Sand/clay,Glaciolacustrine,None,1,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
AH112.2C,4.4,7.8,6.1,3.4,Clay,Fine,NA,No,Yes,Low,8,Vs,Smooth,Flat,0,Sand/clay,Glaciolacustrine,None,1,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
AH112.2N,3,5.2,4.1,2.2,Clay,Fine,NA,No,Yes,Low,8,Vx,Smooth,Flat,0.1,Clay,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
AH112.2N,0.1,3,1.55,2.9,Clay,Fine,NA,No,Yes,Medium to high,45,Vx,Smooth,Flat,0.1,Clay,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
AH112.2S,1.5,5.2,3.35,3.7,Clay,Fine,NA,No,Yes,No visible ice,0,Nbn,Smooth,Undulating,0.3,Clay,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
AH112.2S,0.3,1.5,0.9,1.2,Clay,Fine,NA,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0.3,Clay,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
ENG.YARC03097-01//HUS_P (NTGS 8),6.1,10.4,8.25,4.3,Clay,Fine,CL,No,Yes,Medium to high,45,,Smooth,Undulating,5.5,Silt/clay,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,3,Within ice wedge polygons
ENG.YARC03097-01//I401A_Pit (NTGS 15),0.9,5.9,3.4,5,Clay,Fine,CL-ML,No,Yes,Low,8,,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,Reworked rolling hills
ENG.YARC03097-01//TVC_H (NTGS 5),2,11.7,6.85,9.7,Clay,Fine,CL,No,Yes,Low,8,Vx,Smooth,Undulating,2,Clay/till,Hummocky,Organics,3,Glaciolacustrine,3,
ENG.YARC03097-01//TVC_P (NTGS 4),6.7,9,7.85,2.3,Clay,Fine,CL,No,Yes,Medium to high,45,Vx,Smooth,Undulating,4,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,Within ice wedge polygons
ENG.YARC03097-01//TVC_P (NTGS 4),9,10.1,9.55,1.1,Clay,Fine,CL,No,Yes,Low,8,,Smooth,Undulating,4,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,Within ice wedge polygons
GSC1A - P1,1.5,8,4.75,6.5,Clay,Fine,CL,No,Yes,Medium to high,45,,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC1A - P1,8,10.1,9.05,2.1,Clay,Fine,CL,No,Yes,Medium to high,45,Vr,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC1A - P1,0,1.5,0.75,1.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vr,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC1A - P4,1.5,6,3.75,4.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vr,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC1A - P4,0,1.5,0.75,1.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vc,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC1A - P5,0,1.5,0.75,1.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vr,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC1A - P5,1.5,8,4.75,6.5,Clay,Fine,CL,No,Yes,Medium to high,45,,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC1A - P5,8,9,8.5,1,Clay,Fine,CL,No,Yes,Medium to high,45,Vr,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC1A - P6,0,1.5,0.75,1.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vr,Smooth,Flat,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC3 - 14,0.6,2,1.3,1.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vc,Smooth,Undulating,0.2,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 14,0.2,0.6,0.4,0.4,Clay,Fine,CL,No,Yes,Medium to high,45,Vx/Vr,Smooth,Undulating,0.2,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 16,0,1.5,0.75,1.5,Clay,Fine,CL,No,Yes,Low,8,Vx,Smooth,Flat,0,Clay,Lacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 16,4.6,7.3,5.95,2.7,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Smooth,Flat,0,Clay,Lacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 16,2.1,4.6,3.35,2.5,Clay,Fine,CL,No,Yes,Low,8,Vx,Smooth,Flat,0,Clay,Lacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 17,0,1.8,0.9,1.8,Clay,Fine,CL,No,Yes,Low,8,Vx/Vc,Moderately rugged,Flat,0,Clay,Lacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 24,2.1,3.4,2.75,1.3,Clay,Fine,CL,No,Yes,Medium to high,45,,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 24,0.2,2.1,1.15,1.9,Clay,Fine,CL,No,Yes,Medium to high,45,Vx/Vr,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 25,1.4,2.1,1.75,0.7,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Moderately rugged,Rolling,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 31,0.8,3.7,2.25,2.9,Clay,Fine,CL,No,Yes,Low,8,Nbe,Smooth,Undulating,0.8,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 7,0.2,1.8,1,1.6,Clay,Fine,CL,No,Yes,Medium to high,45,Vx/Vc/Vr,Smooth,Flat,0.2,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
GSC3 - 7,3.1,3.4,3.25,0.3,Clay,Fine,CL,No,Yes,Low,8,Nbe,Smooth,Flat,0.2,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
GSC4 - 11,4.3,4.7,4.5,0.4,Clay,Fine,CL-ML,No,Yes,Medium to high,45,,Smooth,Undulating,0,Silt,Hummocky,None,2,Glaciolacustrine,3,
GSC4 - 12,2.1,2.9,2.5,0.8,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Smooth,Undulating,0,Silt/clay,Hummocky,None,2,Glaciolacustrine,3,
GSC4 - 12,2.9,6.1,4.5,3.2,Clay,Fine,CL-ML,No,Yes,Low,8,Vx/Vr,Smooth,Undulating,0,Silt/clay,Hummocky,None,2,Glaciolacustrine,3,
GSC4 - 13,0,1.5,0.75,1.5,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC4 - 13,3.1,4.9,4,1.8,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC4 - 13,4.9,6.1,5.5,1.2,Clay,Fine,CL-ML,No,Yes,Low,8,Nbe,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC4 - 13,1.5,3.1,2.3,1.5,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vr,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC4 - 14,5.5,6,5.75,0.5,Clay,Fine,CL-ML,No,Yes,Low,8,,Smooth,Undulating,1.8,Silt,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 14,3.7,4.2,3.95,0.5,Clay,Fine,CL-ML,No,Yes,Low,8,,Smooth,Undulating,1.8,Silt,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 16,3.5,6,4.75,2.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vr,Smooth,Rolling,1.5,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 16,1.5,3.5,2.5,2,Clay,Fine,CL-ML,No,Yes,Low,8,,Smooth,Rolling,1.5,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 18,5.5,6,5.75,0.5,Clay,Fine,CL,No,Yes,Low,8,,Smooth,Undulating,1.2,Silt,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 19,1.5,2.4,1.95,0.9,Clay,Fine,CL-ML,No,Yes,Medium to high,45,,Smooth,Rolling,1.5,Clay/silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,
GSC4 - 36,2.4,3.1,2.75,0.7,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Smooth,Flat,0,Silt/clay,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,
GSC4 - 36,3.1,5.2,4.15,2.1,Clay,Fine,CL-ML,No,Yes,Medium to high,45,,Smooth,Flat,0,Silt/clay,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,
GSC4 - 40,2.4,3,2.7,0.6,Clay,Fine,CL,No,Yes,No visible ice,0,Nf,Smooth,Flat,0,Silt/clay,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,
GSC4 - 44,0,4,2,4,Clay,Fine,CL,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Clay,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,
