,X,Borehole.ID,Top.depth,Bottom.depth,Depth,Thickness,Material,Material.simplified,ASTM,Reinterpreted,Frozen,Visible.ice,Mid_VI,Cryostructures,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes,fittedvalues_beta,fittedvalues_beta_lwrCI_reg,fittedvalues_beta_uprCI_reg,fittedvalues_beta_lwrCI_siteid,fittedvalues_beta_uprCI_siteid
438,462,309-25,9.1,10.4,9.75,1.3,Coarse till,Coarse,SW,No,Yes,Medium to high,45,Nbe,Moderately rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.317631579,0.061609941,0.745498236,4.02E-05,0.999675775
480,459,309-25,1.5,7.6,4.55,6.1,Gravel,Coarse,GW,No,Yes,Low,8,Nbn/Nf,Moderately rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.21697675,0.053695843,0.55694503,4.84E-05,0.998901679
481,460,309-25,8,9.1,8.55,1.1,Gravel,Coarse,GW,No,Yes,Medium to high,45,Nbn/Nf,Moderately rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.326819654,0.065958678,0.747118032,4.44E-05,0.999671544
482,463,309-25,13.7,15.2,14.45,1.5,Gravel,Coarse,GP-GM,No,Yes,Low,8,,Moderately rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.163765605,0.030170873,0.539465539,2.15E-05,0.999013006
483,464,309-25,10.7,13.7,12.2,3,Gravel,Coarse,GW,No,Yes,Low,8,Nf,Moderately rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.174857278,0.034434708,0.543448259,2.58E-05,0.998988738
484,465,309-25,7.6,8,7.8,0.4,Gravel,Coarse,GW,No,Yes,Medium to high,45,,Moderately rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.332631019,0.068819831,0.748126935,4.72E-05,0.999668872
790,461,309-25,0.2,1.5,0.85,1.3,Silt,Fine,ML,No,Yes,Medium to high,45,Nbn,Moderately rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.307287151,0.056353176,0.746624809,3.65E-05,0.999619707
485,485,309-29,1.5,7.4,4.45,5.9,Gravel,Coarse,GP-GM,No,Yes,Low,8,,Rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.217573014,0.054005156,0.557120947,4.88E-05,0.998900493
623,481,309-29,1.2,1.5,1.35,0.3,Sand,Coarse,SM,No,Yes,No visible ice,0,Nf,Rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.210361494,0.058703428,0.515159897,5.96E-05,0.998537976
624,482,309-29,8,11.6,9.8,3.6,Sand,Coarse,SM,No,Yes,No visible ice,0,Nf,Rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.165341389,0.035993932,0.500103598,2.99E-05,0.998665397
625,483,309-29,7.4,8,7.7,0.6,Sand,Coarse,SM,No,Yes,Low,8,,Rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.198799686,0.044768014,0.551396556,3.74E-05,0.998938399
791,484,309-29,0.2,1.2,0.7,1,Silt,Fine,ML,No,Yes,Low,8,Vx,Rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.181148756,0.036594466,0.549516029,2.90E-05,0.998780248
24,520,309-38,0.1,0.6,0.35,0.5,Clay,Fine,CH,No,Yes,Medium to high,45,Nbn,Moderately rugged,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.311031242,0.057989247,0.747298576,3.80E-05,0.999617647
439,519,309-38,0.6,1.5,1.05,0.9,Coarse till,Coarse,SP,No,Yes,Low,8,Nf,Moderately rugged,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.238547407,0.065574281,0.563093321,6.44E-05,0.998859391
486,521,309-38,1.5,5.5,3.5,4,Gravel,Coarse,GP-GM,No,Yes,Low,8,Nf,Moderately rugged,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.22329645,0.057028523,0.558791438,5.27E-05,0.99888916
1095,523,309-40,0.1,1.2,0.65,1.1,Coarse till,Coarse,SP-SM,No,Yes,Medium to high,45,Vx/Nf,Smooth,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near thermokarst lakes,0.284627289,0.038973224,0.777832674,2.84E-06,0.999964867
1096,525,309-41,2.4,3,2.7,0.6,Coarse till,Coarse,SP-SM,No,Yes,Low,8,Vx/Nf,Moderately rugged,Rolling,0.6,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near thermokarst lakes,0.155183971,0.022071481,0.587931259,1.89E-06,0.999889876
1154,524,309-41,3,4.6,3.8,1.6,Gravel,Coarse,GW-GM,No,Yes,No visible ice,0,Nf,Moderately rugged,Rolling,0.6,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near thermokarst lakes,0.131856359,0.01874825,0.539082296,1.64E-06,0.999860019
1162,526,309-41,0.2,0.6,0.4,0.5,Organics,Organics,ORGANICS,No,Yes,No visible ice,0,Nf,Moderately rugged,Rolling,0.6,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near thermokarst lakes,0.145847398,0.014310942,0.660443944,8.16E-07,0.999923235
25,544,309-51,0.6,1.5,1.05,0.9,Clay,Fine,CL,No,Yes,Low,8,Nbe,Smooth,Undulating,0.6,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.179335634,0.035852693,0.548898245,2.82E-05,0.998784847
440,541,309-51,3,5.8,4.4,2.8,Coarse till,Coarse,SP-SM,No,Yes,No visible ice,0,,Smooth,Undulating,0.6,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.193148107,0.049269699,0.509727118,4.65E-05,0.998585312
441,543,309-51,5.8,6.6,6.2,0.8,Coarse till,Coarse,SP-SM,No,Yes,Medium to high,45,,Smooth,Undulating,0.6,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.345198573,0.075311284,0.750270321,5.38E-05,0.999663099
506,540,309-51,0.1,0.6,0.35,0.6,Organics,Organics,ORGANICS,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0.6,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.215886941,0.039352483,0.634639363,2.44E-05,0.999218274
626,542,309-51,1.5,3,2.25,1.5,Sand,Coarse,SM,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0.6,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes,0.205167872,0.055756093,0.513557097,5.54E-05,0.998552106
442,547,312-01,4.6,5,4.8,0.4,Coarse till,Coarse,SW-SM,No,Yes,Medium to high,45,Nbn,Moderately rugged,Undulating,0.2,Silt/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.356376249,0.081447888,0.752135775,6.03E-05,0.999657965
487,546,312-01,1.2,4.6,2.9,3.4,Gravel,Coarse,GP-GM,No,Yes,Low,8,Nf,Moderately rugged,Undulating,0.2,Silt/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.226966126,0.059019231,0.559845803,5.54E-05,0.998881942
488,549,312-01,5,9.1,7.05,4.1,Gravel,Coarse,GW,No,Yes,Medium to high,45,Nbn,Moderately rugged,Undulating,0.2,Silt/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.338493759,0.071795556,0.749133165,5.02E-05,0.999666179
792,545,312-01,0.2,0.3,0.25,0.1,Silt,Fine,ML,No,Yes,Medium to high,45,Vs,Moderately rugged,Undulating,0.2,Silt/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.311783057,0.058321767,0.747433187,3.83E-05,0.999617234
793,548,312-01,0.3,1.2,0.75,0.9,Silt,Fine,ML,No,Yes,Medium to high,45,Nbn,Moderately rugged,Undulating,0.2,Silt/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.308033963,0.05667688,0.746759657,3.68E-05,0.999619296
26,558,312-04,8.2,8.5,8.35,0.3,Clay,Fine,CH,No,Yes,Medium to high,45,Nbn,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.254303946,0.036494123,0.7363767,1.97E-05,0.999649303
27,559,312-04,0.1,1,0.55,0.9,Clay,Fine,CL,No,Yes,Medium to high,45,Vx/Nbn,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.309530601,0.057329536,0.747029211,3.74E-05,0.999618472
489,555,312-04,6.1,8.2,7.15,2.1,Gravel,Coarse,GW-GM,No,Yes,Low,8,Nf,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.201888956,0.046217787,0.5523663,3.91E-05,0.998932077
490,556,312-04,5.5,6.1,5.8,0.6,Gravel,Coarse,GW-GM,No,Yes,Medium to high,45,Nbe,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.348375415,0.077019905,0.750804262,5.56E-05,0.99966164
491,557,312-04,1,5.5,3.25,4.5,Gravel,Coarse,GW-GM,No,Yes,Low,8,Nf,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.224820324,0.057850201,0.559230822,5.38E-05,0.998886158
627,554,312-04,8.5,10.7,9.6,2.2,Sand,Coarse,SC,No,Yes,Medium to high,45,Nbn,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system,0.318772538,0.062138519,0.745701084,4.07E-05,0.999675249
1097,572,312-07a,0.6,1.2,0.9,0.6,Coarse till,Coarse,SW-SM,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0.2,Till,Alluvial,Organics,3,Moraine,2,,0.339334611,0.084769875,0.721108044,2.48E-05,0.999691927
1163,573,312-07a,0.2,0.6,0.4,0.5,Organics,Organics,ORGANICS,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0.2,Till,Alluvial,Organics,3,Moraine,2,,0.550264172,0.093764866,0.924971005,1.31E-05,0.999960276
628,574,312-08,6.1,7.5,6.8,1.4,Sand,Coarse,SC,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Silt/sand,Alluvial,None,1,Glaciolacustrine,2,,0.180372113,0.042875963,0.505450464,3.82E-05,0.998621481
629,575,312-08,1.5,4.6,3.05,3.1,Sand,Coarse,SC,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Silt/sand,Alluvial,None,1,Glaciolacustrine,2,,0.200631695,0.053253661,0.51213215,5.19E-05,0.998564552
630,576,312-08,7.5,9.1,8.3,1.6,Sand,Coarse,SC,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0,Silt/sand,Alluvial,None,1,Glaciolacustrine,2,,0.328750986,0.066899895,0.74745463,4.53E-05,0.999670656
631,578,312-08,4.6,6.1,5.35,1.5,Sand,Coarse,SC,No,Yes,Low,8,Vc,Smooth,Undulating,0,Silt/sand,Alluvial,None,1,Glaciolacustrine,2,,0.212249204,0.051280858,0.555537184,4.53E-05,0.998911124
794,577,312-08,0,1.5,0.75,1.5,Silt,Fine,ML,No,Yes,Low,8,Vx/Nbe,Smooth,Undulating,0,Silt/sand,Alluvial,None,1,Glaciolacustrine,2,,0.180888868,0.036487601,0.549427783,2.89E-05,0.998780906
28,594,312-12,1.5,3,2.25,1.5,Clay,Fine,CL,No,Yes,Low,8,Vx/Nbe,Moderately rugged,Undulating,1.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,,0.173226912,0.033417865,0.546778995,2.56E-05,0.998800484
443,595,312-12,5.8,6.1,5.95,0.3,Coarse till,Coarse,SP-SM,No,Yes,No visible ice,0,Nf,Moderately rugged,Undulating,1.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,,0.184819955,0.045044262,0.506965235,4.09E-05,0.998608778
492,592,312-12,3,5.8,4.4,2.8,Gravel,Coarse,GP-GM,No,Yes,No visible ice,0,Nf,Moderately rugged,Undulating,1.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,,0.193148107,0.049269699,0.509727118,4.65E-05,0.998585312
507,591,312-12,0,1.5,0.75,1.5,Organics,Organics,ORGANICS,No,Yes,Low,8,Vx,Moderately rugged,Undulating,1.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,,0.240077824,0.042308694,0.677050293,2.49E-05,0.999394814
632,593,312-12,6.1,7.6,6.85,1.5,Sand,Coarse,SM,No,Yes,No visible ice,0,Nf,Moderately rugged,Undulating,1.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,,0.180113093,0.042751569,0.505361356,3.80E-05,0.998622225
633,596,312-12,7.6,9.1,8.35,1.5,Sand,Coarse,SM,No,Yes,Medium to high,45,Vx,Moderately rugged,Undulating,1.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,,0.328364253,0.066710659,0.747387334,4.51E-05,0.999670834
981,608,312-15,6.1,7.6,6.85,1.5,Clay,Fine,CH,No,Yes,Medium to high,45,Vx/Vs/Nbn,Smooth,Undulating,0.1,Till/sand,Alluvial,Organics,3,Moraine,2,,0.405527152,0.056563852,0.872585254,8.94E-06,0.999925325
1098,606,312-15,0.1,1.5,0.8,1.4,Coarse till,Coarse,SP,No,Yes,Low,8,Nf,Smooth,Undulating,0.1,Till/sand,Alluvial,Organics,3,Moraine,2,,0.374915774,0.093352976,0.757974418,2.63E-05,0.999760234
1099,611,312-15,4,6.1,5.05,2.1,Coarse till,Coarse,SP,No,Yes,Medium to high,45,Nbn/Nbe,Smooth,Undulating,0.1,Till/sand,Alluvial,Organics,3,Moraine,2,,0.510202896,0.112066304,0.880202743,2.37E-05,0.999928534
1155,610,312-15,2.4,3,2.7,0.6,Gravel,Coarse,GW,No,Yes,Low,8,Nf,Smooth,Undulating,0.1,Till/sand,Alluvial,Organics,3,Moraine,2,,0.359438909,0.084037549,0.75548075,2.25E-05,0.999765106
1210,607,312-15,1.5,2.4,1.95,0.9,Sand,Coarse,SC,No,Yes,Medium to high,45,Nbn,Smooth,Undulating,0.1,Till/sand,Alluvial,Organics,3,Moraine,2,,0.537306865,0.132204063,0.882513717,3.05E-05,0.999926099
1267,609,312-15,3,4,3.5,1,Silt,Fine,ML,No,Yes,Medium to high,45,Nbn/Nbe,Smooth,Undulating,0.1,Till/sand,Alluvial,Organics,3,Moraine,2,,0.43412665,0.068447534,0.875217096,1.18E-05,0.999922572
29,612,312-16,0.1,1.2,0.65,1.1,Clay,Fine,CH,No,Yes,Medium to high,45,Nbn,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,,0.30878178,0.05700233,0.746894458,3.71E-05,0.999618884
444,613,312-16,6.7,7.6,7.15,0.9,Coarse till,Coarse,SP,No,Yes,Medium to high,45,Vx/Nbn,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,,0.337709141,0.071392039,0.748999155,4.98E-05,0.999666539
445,616,312-16,7.6,8,7.8,0.4,Coarse till,Coarse,SP,No,Yes,Medium to high,45,,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,,0.332631019,0.068819831,0.748126935,4.72E-05,0.999668872
446,618,312-16,1.2,2.4,1.8,1.2,Coarse till,Coarse,SW-SM,No,Yes,Medium to high,45,,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,,0.380849223,0.09615385,0.75610161,7.71E-05,0.999646699
447,619,312-16,8,9.1,8.55,1.1,Coarse till,Coarse,SP,No,Yes,Medium to high,45,Vx/Nbn,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,,0.326819654,0.065958678,0.747118032,4.44E-05,0.999671544
634,620,312-16,2.4,3.4,2.9,1,Sand,Coarse,SM,No,Yes,Medium to high,45,Vx,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,,0.371797784,0.090504619,0.754652477,7.05E-05,0.999650872
941,614,312-16,3.4,3.8,3.6,0.4,Till,Till,GM,No,Yes,Medium to high,45,,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,,0.220681022,0.032999538,0.680131795,1.43E-05,0.99961344
942,615,312-16,4.6,6.7,5.65,2.1,Till,Till,GM,No,Yes,Low,8,,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,,0.115619112,0.018638195,0.464240354,9.47E-06,0.998789257
943,617,312-16,3.8,4.6,4.2,0.8,Till,Till,GM,No,Yes,Low,8,Nf,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,,0.120919802,0.020318397,0.466812486,1.07E-05,0.998770159
30,627,312-18,3.8,4.6,4.2,0.8,Clay,Fine,CL,No,Yes,Medium to high,45,Vs,Smooth,Undulating,0.6,Silt/sand,Alluvial,Organics,3,Glaciolacustrine,2,,0.282866669,0.04646455,0.74208004,2.77E-05,0.999633223
508,626,312-18,0.2,0.6,0.4,0.5,Organics,Organics,ORGANICS,No,Yes,Low,8,Vx/Nbe,Smooth,Undulating,0.6,Silt/sand,Alluvial,Organics,3,Glaciolacustrine,2,,0.242323729,0.043178056,0.677595658,2.56E-05,0.999392522
635,623,312-18,1.5,2.7,2.1,1.2,Sand,Coarse,SM,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0.6,Silt/sand,Alluvial,Organics,3,Glaciolacustrine,2,,0.206026824,0.056237459,0.51382425,5.61E-05,0.998549761
636,628,312-18,2.7,3.8,3.25,1.1,Sand,Coarse,SC,No,Yes,Low,8,Vx/Nf,Smooth,Undulating,0.6,Silt/sand,Alluvial,Organics,3,Glaciolacustrine,2,,0.224820324,0.057850201,0.559230822,5.38E-05,0.998886158
795,624,312-18,0.6,1.4,1,0.8,Silt,Fine,ML,No,Yes,Low,8,,Smooth,Undulating,0.6,Silt/sand,Alluvial,Organics,3,Glaciolacustrine,2,,0.17959378,0.035957767,0.548986509,2.83E-05,0.998784191
796,625,312-18,1.4,1.5,1.45,0.1,Silt,Fine,ML,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0.6,Silt/sand,Alluvial,Organics,3,Glaciolacustrine,2,,0.30282755,0.054447191,0.745814723,3.47E-05,0.999622164
1100,638,312-20,0.2,1.5,0.85,1.4,Coarse till,Coarse,SP-SM,No,Yes,No visible ice,0,Nf,Smooth,Flat,0.2,Till,Alluvial,Organics,3,Moraine,3,Near braided river system,0.144153161,0.022343161,0.544303651,2.09E-06,0.999855485
1211,636,312-20,4,6.1,5.05,2.1,Sand,Coarse,SM,No,Yes,Low,8,Vc/Nf,Smooth,Flat,0.2,Till,Alluvial,Organics,3,Moraine,3,Near braided river system,0.144686327,0.019193278,0.58386636,1.56E-06,0.999892638
1212,637,312-20,3,4,3.5,1,Sand,Coarse,SC,No,Yes,No visible ice,0,Nf/Nbn,Smooth,Flat,0.2,Till,Alluvial,Organics,3,Moraine,3,Near braided river system,0.133065049,0.019086255,0.539613692,1.68E-06,0.999859564
1319,635,312-20,1.5,3,2.25,1.5,Till,Till,GM,No,Yes,No visible ice,0,Nf,Smooth,Flat,0.2,Till,Alluvial,Organics,3,Moraine,3,Near braided river system,0.072901699,0.007455271,0.451028954,3.98E-07,0.999841193
982,641,312-22,4.3,5,4.65,0.7,Clay,Fine,CH,No,Yes,Medium to high,45,Nbn,Smooth,Undulating,0.1,Till,Alluvial,Organics,3,Moraine,3,Near braided river system,0.194338681,0.016576752,0.762612686,8.97E-07,0.999964151
1101,643,312-22,0.1,1.2,0.65,1.2,Coarse till,Coarse,SP-SM,No,Yes,Medium to high,45,Vx/Nbe,Smooth,Undulating,0.1,Till,Alluvial,Organics,3,Moraine,3,Near braided river system,0.284627289,0.038973224,0.777832674,2.84E-06,0.999964867
1102,644,312-22,1.2,4.3,2.75,3.1,Coarse till,Coarse,SP-SM,No,Yes,Low,8,Nf,Smooth,Undulating,0.1,Till,Alluvial,Organics,3,Moraine,3,Near braided river system,0.154954284,0.022006058,0.587844894,1.88E-06,0.999889936
1213,642,312-22,5,6.1,5.55,1.1,Sand,Coarse,SC,No,Yes,Medium to high,45,,Smooth,Undulating,0.1,Till,Alluvial,Organics,3,Moraine,3,Near braided river system,0.250974747,0.029238365,0.771737176,1.90E-06,0.999966679
31,647,312-23,0.1,0.3,0.2,0.3,Clay,Fine,CH,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0.1,Clay/sand,Alluvial,Organics,3,Glaciolacustrine,1,Near braided river system,0.580947415,0.201617699,0.865059691,0.000458981,0.99918337
493,645,312-23,2.7,4,3.35,1.3,Gravel,Coarse,GW,No,Yes,Low,8,Nf,Smooth,Undulating,0.1,Clay/sand,Alluvial,Organics,3,Glaciolacustrine,1,Near braided river system,0.468892208,0.198779564,0.733013973,0.000636161,0.997629426
637,646,312-23,4,4.6,4.3,0.6,Sand,Coarse,SM,No,Yes,Low,8,Nf,Smooth,Undulating,0.1,Clay/sand,Alluvial,Organics,3,Glaciolacustrine,1,Near braided river system,0.460606882,0.189753491,0.731686383,0.000588568,0.997653582
638,648,312-23,1.8,2.7,2.25,0.9,Sand,Coarse,SM,No,Yes,Medium to high,45,Nbn,Smooth,Undulating,0.1,Clay/sand,Alluvial,Organics,3,Glaciolacustrine,1,Near braided river system,0.649077046,0.296172781,0.869988404,0.000886168,0.999250266
1164,658,312-27,1.2,1.5,1.35,0.3,Organics,Organics,ORGANICS,No,Yes,Medium to high,45,Vx/Vc,Smooth,Flat,1.5,Till,Alluvial,Organics,3,Moraine,2,Near braided river system,0.542008356,0.088977693,0.924499608,1.21E-05,0.999960682
1165,659,312-27,0.9,1.1,1,0.2,Organics,Organics,ORGANICS,No,Yes,Low,8,Nbe,Smooth,Flat,1.5,Till,Alluvial,Organics,3,Moraine,2,Near braided river system,0.372780129,0.059161304,0.835423694,9.76E-06,0.999873524
1166,661,312-27,0.6,0.9,0.75,0.3,Organics,Organics,ORGANICS,No,Yes,Medium to high,45,Vx/Nbe,Smooth,Flat,1.5,Till,Alluvial,Organics,3,Moraine,2,Near braided river system,0.547225531,0.091974879,0.924797648,1.27E-05,0.999960426
1167,662,312-27,1.1,1.2,1.15,0.1,Organics,Organics,ORGANICS,No,Yes,Medium to high,45,Vx,Smooth,Flat,1.5,Till,Alluvial,Organics,3,Moraine,2,Near braided river system,0.543748496,0.089966832,0.924599075,1.23E-05,0.999960597
1168,664,312-27,0.2,0.6,0.4,0.5,Organics,Organics,ORGANICS,No,Yes,No visible ice,0,Nf,Smooth,Flat,1.5,Till,Alluvial,Organics,3,Moraine,2,Near braided river system,0.342799882,0.055730823,0.808131355,9.73E-06,0.999836253
1268,663,312-27,3,6.1,4.55,3.1,Silt,Fine,ML,No,Yes,No visible ice,0,Nf/Nbn,Smooth,Flat,1.5,Till,Alluvial,Organics,3,Moraine,2,Near braided river system,0.239681309,0.037836933,0.704003658,8.05E-06,0.999684466
1320,660,312-27,1.5,3,2.25,1.5,Till,Till,GM,No,Yes,No visible ice,0,Nf,Smooth,Flat,1.5,Till,Alluvial,Organics,3,Moraine,2,Near braided river system,0.193685155,0.029629363,0.64017557,4.75E-06,0.999661282
639,679,325-1-11,6.9,8.8,7.85,1.9,Sand,Coarse,SM,Yes,Yes,Low,8,Vx,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.197963352,0.044380205,0.551132013,3.69E-05,0.998940116
640,681,325-1-11,1.2,6.9,4.05,5.7,Sand,Coarse,SM-SC,Yes,Yes,Low,8,Vx,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.219969889,0.055259283,0.557824472,5.04E-05,0.998895735
797,680,325-1-11,0.15,1.2,0.675,1.05,Silt,Fine,ML,Yes,Yes,Low,8,Vx,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.18127881,0.036648011,0.549560151,2.91E-05,0.998779918
448,686,325-1-13,5.5,10,7.75,4.5,Coarse till,Coarse,SP-SW,Yes,Yes,Low,8,Vx,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.198520613,0.044638387,0.551308378,3.72E-05,0.998938972
641,687,325-1-13,1.4,5.5,3.45,4.1,Sand,Coarse,SM-SC,Yes,Yes,Low,8,Vx,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.223600635,0.057191977,0.558879323,5.29E-05,0.99888856
798,685,325-1-13,0.15,1.4,0.775,1.25,Silt,Fine,ML,Yes,Yes,Low,8,Vx,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.180759032,0.036434281,0.54938366,2.88E-05,0.998781235
494,690,325-1-14,7.5,9.2,8.35,1.7,Gravel,Coarse,GP,Yes,Yes,Low,8,Vx,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.195194723,0.043110519,0.550249993,3.54E-05,0.998945822
642,688,325-1-14,2.4,7.5,4.95,5.1,Sand,Coarse,SM-SC,Yes,Yes,Low,8,Vx,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.214603516,0.052475229,0.55624122,4.68E-05,0.998906412
799,689,325-1-14,0.15,2.4,1.275,2.25,Silt,Fine,ML,Yes,Yes,Low,8,Vx,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.178177562,0.035383506,0.548501018,2.77E-05,0.998787794
449,693,325-1-15,1.8,6.4,4.1,4.6,Coarse till,Coarse,SP-SW,Yes,Yes,No visible ice,0,,Smooth,Flat,0.15,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.194792576,0.050129853,0.510261612,4.76E-05,0.998580725
495,691,325-1-15,6.4,9.8,8.1,3.4,Gravel,Coarse,GP,Yes,Yes,No visible ice,0,,Smooth,Flat,0.15,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.173731712,0.039751569,0.50313357,3.43E-05,0.998640686
800,692,325-1-15,0.15,1.8,0.975,1.65,Silt,Fine,ML,Yes,Yes,High,87,,Smooth,Flat,0.15,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,,0.494631631,0.090977533,0.889158683,4.75E-05,0.999898729
