,X,Borehole.ID,Top.depth,Bottom.depth,Depth,Thickness,Material,Material.simplified,ASTM,Reinterpreted,Frozen,Visible.ice,Mid_VI,Cryostructures,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes,fittedvalues_beta,fittedvalues_beta_lwrCI_reg,fittedvalues_beta_uprCI_reg,fittedvalues_beta_lwrCI_siteid,fittedvalues_beta_uprCI_siteid
1135,25,170-1-29,7,8.1,7.55,1.1,Gravel,Coarse,GP-GM,No,Yes,Low,8,Nbn,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.134173385,0.016535261,0.579529454,1.27E-06,0.999895499
1205,27,170-1-29,1.5,2.4,1.95,0.9,Sand,Coarse,SM-SC,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.139460056,0.020930036,0.542357781,1.91E-06,0.999857192
1055,36,170-1-32,1.2,2.9,2.05,1.7,Coarse till,Coarse,SP-SM,No,Yes,No visible ice,0,Nbn/Nf,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.139039821,0.020805993,0.542180819,1.89E-06,0.999857347
1056,37,170-1-32,0.3,1.2,0.75,0.9,Coarse till,Coarse,SW,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.144586255,0.022476157,0.544480482,2.10E-06,0.999855329
1057,42,170-1-36,1.5,2.4,1.95,0.9,Coarse till,Coarse,SW-SM,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.139460056,0.020930036,0.542357781,1.91E-06,0.999857192
1304,43,170-1-36,0.9,1.5,1.2,0.6,Till,Till,GM-GC,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.075429284,0.007942075,0.452883151,4.34E-07,0.999839381
1305,44,170-1-36,2.4,4.3,3.35,1.9,Till,Till,GM-GC,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.07033764,0.006977032,0.44908792,3.64E-07,0.999843069
591,45,170-1-37,0.6,2.1,1.35,1.5,Sand,Coarse,SM-SC,No,Yes,Low,8,Nf,Smooth,Rolling,0,Silt/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.236642112,0.064467109,0.562567056,6.28E-05,0.998863078
592,47,170-1-37,2.1,3.5,2.8,1.4,Sand,Coarse,SM-SC,No,Yes,No visible ice,0,Nf,Smooth,Rolling,0,Silt/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.20204113,0.054024067,0.512577468,5.30E-05,0.998560674
745,46,170-1-37,0,0.6,0.3,0.6,Silt,Fine,ML,No,Yes,Low,8,Nf,Smooth,Rolling,0,Silt/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.18323834,0.037460285,0.550221881,3.00E-05,0.99877497
746,48,170-1-41,0.1,6.9,3.5,6.8,Silt,Fine,ML,No,Yes,No visible ice,0,Nbn,Smooth,Undulating,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.053401773,0.007084059,0.313282827,1.83E-06,0.999286047
502,55,170-1-5,2.4,7.2,4.8,4.8,Organics,Organics,PEAT,No,Yes,High,87,,Smooth,Rolling,0.5,None,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,1,Near ice wedge polygons and thermokarst lakes,0.789050237,0.273398288,0.966735571,0.000356722,0.999897159
1206,56,170-1-8,2.3,5.8,4.05,3.5,Sand,Coarse,SM,No,Yes,Low,8,Vs,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.348615122,0.077940202,0.753698406,2.02E-05,0.999768507
1253,59,172-2-1,4.3,5.8,5.05,1.5,Silt,Fine,,No,Yes,No visible ice,0,Nbn,Smooth,Undulating,0,Till/silt,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.09206607,0.009297294,0.522542538,6.47E-07,0.999852861
1254,61,172-2-1,2.3,4.3,3.3,2,Silt,Fine,,No,Yes,Low,8,,Smooth,Undulating,0,Till/silt,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.111477299,0.011400273,0.572886194,7.87E-07,0.99988343
1306,60,172-2-1,0,2.3,1.15,2.3,Till,Till,,No,Yes,Low,8,,Smooth,Undulating,0,Till/silt,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.086842584,0.0087947,0.50056424,4.59E-07,0.999875065
593,63,172-2-2,4,4.9,4.45,0.9,Sand,Coarse,,No,Yes,Low,8,"Vx, Vc",Smooth,Flat,0.1,Silt,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.083434364,0.013849004,0.367454008,4.09E-06,0.99948429
747,64,172-2-2,2.9,4,3.45,1.1,Silt,Fine,,No,Yes,Medium to high,45,,Smooth,Flat,0.1,Silt,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.117046843,0.01239005,0.571877263,2.47E-06,0.999826636
748,65,172-2-2,0.1,2.9,1.5,2.8,Silt,Fine,,No,Yes,Low,8,Vx,Smooth,Flat,0.1,Silt,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.065783466,0.008822548,0.359018076,2.28E-06,0.999432776
934,62,172-2-2,4.9,10,7.45,5.1,Till,Till,,No,Yes,Low,8,Vx,Smooth,Flat,0.1,Silt,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.038627293,0.004170907,0.283177036,6.85E-07,0.999443016
749,66,172-2-3,4.3,4.9,4.6,0.6,Silt,Fine,,No,Yes,High,87,,Smooth,Rolling,0,Silt,Glaciolacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.220066908,0.019373904,0.783077492,2.96E-06,0.999954349
750,67,172-2-3,2.1,4.3,3.2,2.2,Silt,Fine,,No,Yes,Medium to high,45,,Smooth,Rolling,0,Silt,Glaciolacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.117955741,0.012577146,0.572313589,2.52E-06,0.999826167
751,68,172-2-3,0,2.1,1.05,2.1,Silt,Fine,,No,Yes,No visible ice,0,Nf,Smooth,Rolling,0,Silt,Glaciolacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.057914287,0.008210777,0.317052848,2.24E-06,0.999266906
594,70,172-2-4,2.1,4,3.05,1.9,Sand,Coarse,,No,Yes,Medium to high,45,,Smooth,Undulating,0,Silt/sand,Glaciolacustrine,None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.370570277,0.089757839,0.754454419,6.96E-05,0.999651437
595,72,172-2-4,5.2,6.9,6.05,1.7,Sand,Coarse,,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Silt/sand,Glaciolacustrine,None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.18429231,0.044783843,0.506787033,4.06E-05,0.998610279
752,69,172-2-4,0,2.1,1.05,2.1,Silt,Fine,,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Silt/sand,Glaciolacustrine,None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.158101149,0.032558251,0.501322849,2.68E-05,0.99843741
753,71,172-2-4,4,5.2,4.6,1.2,Silt,Fine,,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Silt/sand,Glaciolacustrine,None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.142230037,0.026412773,0.494995639,2.00E-05,0.998496132
1255,73,172-2-5,4.3,4.9,4.6,0.6,Silt,Fine,,No,Yes,No visible ice,0,Nbn,Smooth,Flat,0,Till/silt,Glaciolacustrine,None,2,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.239361992,0.037726582,0.70392937,8.01E-06,0.999684636
1256,74,172-2-5,2.3,4.3,3.3,2,Silt,Fine,,No,Yes,Low,8,,Smooth,Flat,0,Till/silt,Glaciolacustrine,None,2,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.27707206,0.044778565,0.743888259,9.39E-06,0.999751357
1307,75,172-2-5,0,2.3,1.15,2.3,Till,Till,,No,Yes,Low,8,,Smooth,Flat,0,Till/silt,Glaciolacustrine,None,2,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.225114889,0.034812903,0.68457934,5.48E-06,0.999733518
596,77,172-2-6,1.2,1.9,1.55,0.7,Sand,Coarse,,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Silt/sand,Glaciolacustrine,None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.209199078,0.058036093,0.514803745,5.87E-05,0.998541128
754,76,172-2-6,0,1.2,0.6,1.2,Silt,Fine,,No,Yes,Low,8,Vx/Nbn,Smooth,Undulating,0,Silt/sand,Glaciolacustrine,None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.181669406,0.036809099,0.549692511,2.92E-05,0.99877893
755,78,172-2-7,2.7,4.3,3.5,1.6,Silt,Fine,,No,Yes,Low,8,Vx,Smooth,Undulating,0.6,Silt,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.061603086,0.007821708,0.355743401,1.93E-06,0.999444897
756,79,172-2-7,0.6,2.7,1.65,2.1,Silt,Fine,,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0.6,Silt,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.056777153,0.007919406,0.31612733,2.13E-06,0.99927164
757,80,172-2-7,4.9,6.1,5.5,1.2,Silt,Fine,,No,Yes,Medium to high,45,Vx/Vc,Smooth,Undulating,0.6,Silt,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.109820854,0.010956054,0.568295233,2.09E-06,0.999830433
758,81,172-2-8,3.7,4.6,4.15,0.9,Silt,Fine,,No,Yes,Low,8,,Smooth,Flat,0,Silt,Glaciolacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.060298759,0.007521346,0.354682015,1.83E-06,0.99944878
759,82,172-2-8,0,3.7,1.85,3.7,Silt,Fine,,No,Yes,No visible ice,0,Nf,Smooth,Flat,0,Silt,Glaciolacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.056402794,0.00782458,0.315819147,2.10E-06,0.999273212
760,83,172-2-9,0,6.1,3.05,6.1,Silt,Fine,,No,Yes,Medium to high,45,,Smooth,Undulating,0,Silt,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.11850401,0.01269074,0.572575331,2.55E-06,0.999825885
1058,84,174-01,0.1,1.4,0.75,1.3,Coarse till,Coarse,SP-SM,No,Yes,Low,8,Nf,Smooth,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.16435993,0.024776559,0.591295204,2.22E-06,0.999887531
