,Borehole.ID,Top.depth,Bottom.depth,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
2420,W14103137-CR18S,3.4,5.6,Clay,,No,Yes,,,0,0,0,Rugged,Rolling,1.8,Clay,Hummocky,Organics,3,Glaciolacustrine,3,By a stream
2422,W14103137-CR18S,7.4,10.8,Clay,,No,Yes,,,0,0,0,Rugged,Rolling,1.8,Clay,Hummocky,Organics,3,Glaciolacustrine,3,By a stream
2426,W14103137-CR21N,1.5,2.1,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,
2429,W14103137-CR21N,5.9,6.1,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,
2430,W14103137-CR21N,6.1,6.3,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,
2431,W14103137-CR21N,2.1,5.2,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,
2433,W14103137-CR21N,5.2,5.9,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,
2452,W14103137-CR23aS,3.1,4,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.4,Clay/sand,Colluvial,Organics,3,Glaciolacustrine,2,
2454,W14103137-CR23aS,0.4,0.6,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.4,Clay/sand,Colluvial,Organics,3,Glaciolacustrine,2,
2456,W14103137-CR23aS,1.5,1.9,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.4,Clay/sand,Colluvial,Organics,3,Glaciolacustrine,2,
2457,W14103137-CR23aS,2,2.4,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.4,Clay/sand,Colluvial,Organics,3,Glaciolacustrine,2,
2459,W14103137-CR23aS,4,4.2,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.4,Clay/sand,Colluvial,Organics,3,Glaciolacustrine,2,
2465,W14103137-CR23aS,1.05,1.5,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.4,Clay/sand,Colluvial,Organics,3,Glaciolacustrine,2,
2468,W14103137-CR23aS,1.9,2,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.4,Clay/sand,Colluvial,Organics,3,Glaciolacustrine,2,
2469,W14103137-CR23aS,2.4,3.1,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.4,Clay/sand,Colluvial,Organics,3,Glaciolacustrine,2,
2516,W14103137-CR30a4,9.85,10.3,Clay,,No,Yes,,,0,0,0,Rugged,Undulating,0.3,Till,Glaciofluvial (outwash),Organics,3,Moraine,3,Near river
2550,W14103137-CR35aS,1.5,2.1,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.6,Silt/clay/till,Glaciolacustrine,Organics,3,Glaciolacustrine,3,
2553,W14103137-CR35aS,2.1,2.6,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.6,Silt/clay/till,Glaciolacustrine,Organics,3,Glaciolacustrine,3,
2559,W14103137-CR35aS,1.4,1.5,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.6,Silt/clay/till,Glaciolacustrine,Organics,3,Glaciolacustrine,3,
2575,W14103137-CR3S,0.95,1.7,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2576,W14103137-CR3S,0.5,0.95,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2577,W14103137-CR3S,3,3.75,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2582,W14103137-CR3S,2.2,2.6,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2583,W14103137-CR3S,1.9,2.1,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2587,W14103137-CR3S,10.8,13.85,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2588,W14103137-CR3S,2.6,3,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2594,W14103137-CR4N,13.4,15.1,Clay,,No,Yes,,,0,0,0,Smooth,Undulating,1.8,Silt,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2597,W14103137-CR4N,5.2,5.4,Clay,,No,Yes,,,0,0,0,Smooth,Undulating,1.8,Silt,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2598,W14103137-CR4N,5.4,5.7,Clay,,No,Yes,,,0,0,0,Smooth,Undulating,1.8,Silt,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2601,W14103137-CR4N,9.5,9.7,Clay,,No,Yes,,,0,0,0,Smooth,Undulating,1.8,Silt,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2607,W14103137-CR4N,4,5.2,Clay,,No,Yes,,,0,0,0,Smooth,Undulating,1.8,Silt,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2609,W14103137-CR4S,11.9,12.3,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Silt,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2618,W14103137-CR4S,11.8,11.9,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Silt,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2620,W14103137-CR4S,5.2,7.1,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Silt,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2621,W14103137-CR4S,9,11.8,Clay,,No,Yes,,,0,0,0,Smooth,Rolling,0.5,Silt,Alluvial,Organics,3,Glaciolacustrine,2,By a stream
2630,W14103137-CR8N,13.6,19.8,Clay,,No,Yes,,,0,0,0,Rugged,Undulating,0.2,Sand/silt,Hummocky,Organics,3,Glaciolacustrine,1,By a stream
2634,W14103137-CR8N,12.2,13.6,Clay,,No,Yes,,,0,0,0,Rugged,Undulating,0.2,Sand/silt,Hummocky,Organics,3,Glaciolacustrine,1,By a stream
2643,W14103137-CR8S,10.2,11.6,Clay,,No,Yes,,,0,0,0,Rugged,Undulating,0.7,Silt,Hummocky,Organics,3,Glaciolacustrine,2,"By a stream, ice at the surface"
2645,W14103137-CR8S,12.5,12.6,Clay,,No,Yes,,,0,0,0,Rugged,Undulating,0.7,Silt,Hummocky,Organics,3,Glaciolacustrine,2,"By a stream, ice at the surface"
2648,W14103137-CR8S,12.6,16,Clay,,No,Yes,,,0,0,0,Rugged,Undulating,0.7,Silt,Hummocky,Organics,3,Glaciolacustrine,2,"By a stream, ice at the surface"
2682,W14103137-CRA3N,3,3.2,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,2.4,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Within ice wedge polygons
2683,W14103137-CRA3N,2.55,3,Clay,,No,Yes,,,0,0,0,Moderately rugged,Undulating,2.4,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Within ice wedge polygons
2699,W14103137-S6-BH01,9.3,10,Clay,,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Till,Colluvial,Organics,3,Moraine,3,
2739,W14103137-S6-BH05,5.5,6.1,Clay,,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Till,Colluvial,Organics,3,Moraine,3,Outide of LiDAR DEM range
2775,W14103137-S6-BH09,4.5,10,Clay,,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Clay,Colluvial,Organics,3,Glaciolacustrine,3,Outide of LiDAR DEM range
2776,W14103137-S6-BH09,0.1,4.5,Clay,,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Clay,Colluvial,Organics,3,Glaciolacustrine,3,Outide of LiDAR DEM range
2816,W14103137-S6-BH14,0.5,3,Clay,,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Silt/Clay,Colluvial,Organics,3,Glaciolacustrine,2,
1,170-1-10,1.4,2.4,Coarse till,SW-SM,Yes,Yes,,,0,0,0,Smooth,Undulating,0.3,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
4,170-1-10,2.4,8.4,Coarse till,GW-GM,Yes,Yes,,,0,0,0,Smooth,Undulating,0.3,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
7,170-1-12,0,2.4,Coarse till,GP-GM,Yes,Yes,,,0,0,0,Smooth,Flat,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
23,170-1-2,0.3,2.4,Coarse till,GM,Yes,Yes,,,0,0,0,Smooth,Rolling,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,2,Near ice wedge polygons and thermokarst lakes
35,170-1-27,0,0.9,Coarse till,SW-SP,No,Yes,,,0,0,0,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
36,170-1-28,5.8,8.8,Coarse till,SW-SM,No,Yes,,,0,0,0,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
37,170-1-28,2.1,4.6,Coarse till,SW-SM,No,Yes,,,0,0,0,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
39,170-1-28,8.8,10,Coarse till,SW,No,Yes,,,0,0,0,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
40,170-1-28,4.6,5.8,Coarse till,SP-GP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
42,170-1-29,2.4,7,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
43,170-1-29,0,1.5,Coarse till,SW-SP,No,Yes,,,0,0,0,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
55,170-1-32,0.3,1.2,Coarse till,SW,No,Yes,,,0,0,0,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
57,170-1-32,1.2,2.9,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
65,170-1-36,1.5,2.4,Coarse till,SW-SM,No,Yes,,,0,0,0,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
128,174-01,0.1,1.4,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
131,174-02,0.3,1.8,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Silt/till/sand,Glaciofluvial (ice-contact),Organics,3,Moraine,1,Near ice wedge polygons and thermokarst lakes
137,174-02,5.5,6,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Silt/till/sand,Glaciofluvial (ice-contact),Organics,3,Moraine,1,Near ice wedge polygons and thermokarst lakes
157,174-07,0.1,2,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Undulating,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
162,174-09,0.6,1.5,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Rolling,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
167,174-09,1.5,3.7,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Rolling,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
202,174-18,2.4,3,Coarse till,SP,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
211,174-20,0.1,1.5,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
242,174-28,0.1,1.5,Coarse till,SP-SM,No,Yes,,,0,0,0,Moderately rugged,Rolling,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
243,174-28,3,4.9,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Rolling,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
272,174-34,0.1,0.8,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Flat,0.1,Till/clay,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
279,174-37,4.1,5.3,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
281,174-37,1.5,4.1,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
290,174-39,1,1.7,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
292,174-39,1.7,6.1,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
298,174-48,1.4,3,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Rolling,0,Gravel/till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,3,
305,174-50,5.3,10.7,Coarse till,SW-SC,No,Yes,,,0,0,0,Rugged,Rolling,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,
306,174-50,4.6,5.3,Coarse till,SW-SC,No,Yes,,,0,0,0,Rugged,Rolling,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,
307,174-50,0.1,4.6,Coarse till,SW-SC,No,Yes,,,0,0,0,Rugged,Rolling,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,
309,174-51,0.2,3,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,
314,174-52,0,3,Coarse till,SW,No,Yes,,,0,0,0,Rugged,Rolling,0,Till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,3,
315,174-52,3,4.6,Coarse till,SP-SM,No,Yes,,,0,0,0,Rugged,Rolling,0,Till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,3,
317,174-52,6.7,10.7,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Rolling,0,Till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,3,
320,174-53,4.6,10.7,Coarse till,SW,No,Yes,,,0,0,0,Moderately rugged,Rolling,0.1,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,
323,174-54,8,9.8,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Rolling,0.2,Silt/sand/till,Glaciofluvial (ice-contact),Organics,3,Moraine,1,
325,174-54,6.1,7.6,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Rolling,0.2,Silt/sand/till,Glaciofluvial (ice-contact),Organics,3,Moraine,1,
326,174-54,1.5,3.8,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Rolling,0.2,Silt/sand/till,Glaciofluvial (ice-contact),Organics,3,Moraine,1,
327,174-54,3.8,4.6,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Rolling,0.2,Silt/sand/till,Glaciofluvial (ice-contact),Organics,3,Moraine,1,
330,174-54,4.6,6.1,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Rolling,0.2,Silt/sand/till,Glaciofluvial (ice-contact),Organics,3,Moraine,1,
331,174-54,1,1.5,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Rolling,0.2,Silt/sand/till,Glaciofluvial (ice-contact),Organics,3,Moraine,1,
353,174-60,6.1,10.7,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
354,174-60,3.3,4.6,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
355,174-60,0.5,1.5,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
427,19A-06,4,5,Coarse till,SW-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
437,19A-07,1.5,3,Coarse till,SW-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
439,19A-08,0.2,1.5,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
539,307-12-2,6.7,7.3,Coarse till,GP,Yes,Yes,,,0,0,0,Moderately rugged,Rolling,0,Gravel/till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,2,Near ice wedge polygons and thermokarst lakes
540,307-12-2,0.9,6.7,Coarse till,GP,Yes,Yes,,,0,0,0,Moderately rugged,Rolling,0,Gravel/till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,2,Near ice wedge polygons and thermokarst lakes
541,307-12-3,7.3,8.4,Coarse till,GW-GM,Yes,Yes,,,0,0,0,Moderately rugged,Rolling,0,Silt/till,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
542,307-12-3,2.4,4.6,Coarse till,SP-SM,No,Yes,,,0,0,0,Moderately rugged,Rolling,0,Silt/till,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
543,307-12-3,6.1,7.3,Coarse till,SW-SM,No,Yes,,,0,0,0,Moderately rugged,Rolling,0,Silt/till,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
546,307-12-5,1.1,7.5,Coarse till,SP-SM,Yes,Yes,,,0,0,0,Rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
548,307-12-5,0,1.1,Coarse till,GP,Yes,Yes,,,0,0,0,Rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
552,307-14-1a,0.8,6.1,Coarse till,GP,Yes,Yes,,,0,0,0,Smooth,Undulating,0.8,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
556,307-14-2,0.8,10.1,Coarse till,GP,Yes,Yes,,,0,0,0,Smooth,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
568,307-7-10,4.1,9.4,Coarse till,GP,Yes,Yes,,,0,0,0,Smooth,Undulating,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
577,307-7-3,0.8,5.5,Coarse till,GP-GM,Yes,Yes,,,0,0,0,Moderately rugged,Undulating,0.8,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
583,307-7-4,1.2,4.3,Coarse till,GP,Yes,Yes,,,0,0,0,Smooth,Rolling,0.6,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
606,307-8-1,2,4.6,Coarse till,SP,Yes,Yes,,,0,0,0,Smooth,Undulating,0.3,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
629,307-8-7,4.6,10,Coarse till,SP-SM,Yes,Yes,,,0,0,0,Smooth,Flat,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
634,307-8-8,4,7.9,Coarse till,SW-GC,Yes,Yes,,,0,0,0,Smooth,Flat,0,Silt,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
635,307-8-9,0.2,1.1,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Till/silt,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
638,307-8-9,1.5,7.6,Coarse till,SW,Yes,Yes,,,0,0,0,Smooth,Undulating,0.2,Till/silt,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
651,309-03,7.6,9.1,Coarse till,SP-SM,No,Yes,,,0,0,0,Rugged,Rolling,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
652,309-03,4.6,5.5,Coarse till,SP-SM,No,Yes,,,0,0,0,Rugged,Rolling,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
653,309-03,3,4.6,Coarse till,SW,No,Yes,,,0,0,0,Rugged,Rolling,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
656,309-03,5.9,7.2,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Rolling,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
658,309-03,9.1,10.7,Coarse till,SP,No,Yes,,,0,0,0,Rugged,Rolling,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
693,309-11,5.8,7.6,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Moderately steep,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
728,309-22,7.6,10.7,Coarse till,SP,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
732,309-22,5.8,7.6,Coarse till,SW,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
748,309-25,9.1,10.4,Coarse till,SW,No,Yes,,,0,0,0,Moderately rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
825,309-38,0.6,1.5,Coarse till,SP,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
834,309-40,0.1,1.2,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near thermokarst lakes
839,309-41,2.4,3,Coarse till,SP-SM,No,Yes,,,0,0,0,Moderately rugged,Rolling,0.6,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near thermokarst lakes
869,309-51,5.8,6.6,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.6,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
870,309-51,3,5.8,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.6,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
875,312-01,4.6,5,Coarse till,SW-SM,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.2,Silt/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system
909,312-07a,0.6,1.2,Coarse till,SW-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Till,Alluvial,Organics,3,Moraine,2,
935,312-12,5.8,6.1,Coarse till,SP-SM,No,Yes,,,0,0,0,Moderately rugged,Undulating,1.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,
956,312-15,4,6.1,Coarse till,SP,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Till/sand,Alluvial,Organics,3,Moraine,2,
958,312-15,0.1,1.5,Coarse till,SP,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Till/sand,Alluvial,Organics,3,Moraine,2,
959,312-16,8,9.1,Coarse till,SP,No,Yes,,,0,0,0,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,
961,312-16,7.6,8,Coarse till,SP,No,Yes,,,0,0,0,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,
964,312-16,1.2,2.4,Coarse till,SW-SM,No,Yes,,,0,0,0,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,
966,312-16,6.7,7.6,Coarse till,SP,No,Yes,,,0,0,0,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,
986,312-20,0.2,1.5,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Flat,0.2,Till,Alluvial,Organics,3,Moraine,3,Near braided river system
993,312-22,0.1,1.2,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Till,Alluvial,Organics,3,Moraine,3,Near braided river system
996,312-22,1.2,4.3,Coarse till,SP-SM,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Till,Alluvial,Organics,3,Moraine,3,Near braided river system
1051,325-1-13,5.5,10,Coarse till,SP-SW,Yes,Yes,,,0,0,0,Smooth,Flat,0.15,Silt/sand,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
1058,325-1-15,1.8,6.4,Coarse till,SP-SW,Yes,Yes,,,0,0,0,Smooth,Flat,0.15,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
1066,325-1-17,2,11.3,Coarse till,SP-SW,Yes,Yes,,,0,0,0,Smooth,Flat,0.3,Silt/till,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,2,
