,Borehole.ID,Top.depth,Bottom.depth,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
827,309-38,0.1,0.6,Clay,CH,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
871,309-51,0.6,1.5,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.6,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
888,312-04,8.2,8.5,Clay,CH,No,Yes,,,0,0,0,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system
892,312-04,0.1,1,Clay,CL,No,Yes,,,0,0,0,Rugged,Steep,0.1,Clay/gravel,Alluvial,Organics,3,Glaciolacustrine,2,Near braided river system
939,312-12,1.5,3,Clay,CL,No,Yes,,,0,0,0,Moderately rugged,Undulating,1.5,Clay,Alluvial,Organics,3,Glaciolacustrine,2,
955,312-15,6.1,7.6,Clay,CH,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Till/sand,Alluvial,Organics,3,Moraine,2,
967,312-16,0.1,1.2,Clay,CH,No,Yes,,,0,0,0,Smooth,Flat,0.1,Clay/till,Alluvial,Organics,3,Glaciolacustrine,2,
972,312-18,3.8,4.6,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.6,Silt/sand,Alluvial,Organics,3,Glaciolacustrine,2,
997,312-22,4.3,5,Clay,CH,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Till,Alluvial,Organics,3,Moraine,3,Near braided river system
1001,312-23,0.1,0.3,Clay,CH,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Clay/sand,Alluvial,Organics,3,Glaciolacustrine,1,Near braided river system
1192,AH112.2C,1.5,2.1,Clay,NA,No,Yes,,,0,0,0,Smooth,Flat,0,Sand/clay,Glaciolacustrine,None,1,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
1193,AH112.2C,4.4,7.8,Clay,NA,No,Yes,,,0,0,0,Smooth,Flat,0,Sand/clay,Glaciolacustrine,None,1,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
1194,AH112.2C,2.1,3.5,Clay,NA,No,Yes,,,0,0,0,Smooth,Flat,0,Sand/clay,Glaciolacustrine,None,1,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
1195,AH112.2C,3.5,4.4,Clay,NA,No,Yes,,,0,0,0,Smooth,Flat,0,Sand/clay,Glaciolacustrine,None,1,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
1196,AH112.2C,1,1.5,Clay,NA,No,Yes,,,0,0,0,Smooth,Flat,0,Sand/clay,Glaciolacustrine,None,1,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
1199,AH112.2N,0.1,3,Clay,NA,No,Yes,,,0,0,0,Smooth,Flat,0.1,Clay,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
1201,AH112.2N,3,5.2,Clay,NA,No,Yes,,,0,0,0,Smooth,Flat,0.1,Clay,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
1204,AH112.2S,0.3,1.5,Clay,NA,No,Yes,,,0,0,0,Smooth,Undulating,0.3,Clay,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
1205,AH112.2S,1.5,5.2,Clay,NA,No,Yes,,,0,0,0,Smooth,Undulating,0.3,Clay,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
1215,ENG.YARC03097-01//177_Pond (NTGS 12),3.9,4.6,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,1.5,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Within ice wedge polygons
1220,ENG.YARC03097-01//177_Pond (NTGS 12),3,3.9,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,1.5,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Within ice wedge polygons
1233,ENG.YARC03097-01//Gunghi BH-01,18,18.3,Clay,CL,No,Yes,,,0,0,0,Rugged,Undulating,0,Till,Hummocky,None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
1243,ENG.YARC03097-01//Gunghi BH-02,18,18.3,Clay,CL,No,Yes,,,0,0,0,Rugged,Undulating,0,Till,Hummocky,None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
1257,ENG.YARC03097-01//HUS_P (NTGS 8),6.1,10.4,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,5.5,Silt/clay,Glaciofluvial (outwash),Organics,3,Glaciolacustrine,3,Within ice wedge polygons
1272,ENG.YARC03097-01//HUS_Slump (NTGS 17),2.4,2.5,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.5,Till/clay,Glaciofluvial (outwash),Organics,3,Moraine,2,Near thermokarst lake
1274,ENG.YARC03097-01//HUS_Slump (NTGS 17),2.1,2.4,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.5,Till/clay,Glaciofluvial (outwash),Organics,3,Moraine,2,Near thermokarst lake
1278,ENG.YARC03097-01//HUS_Slump (NTGS 17),3.6,3.9,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.5,Till/clay,Glaciofluvial (outwash),Organics,3,Moraine,2,Near thermokarst lake
1280,ENG.YARC03097-01//I401A_Pit (NTGS 15),0.9,5.9,Clay,CL-ML,No,Yes,,,0,0,0,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,Reworked rolling hills
1281,ENG.YARC03097-01//I401A_Upper (NTGS 16),3.9,4.6,Clay,CL,No,Yes,,,0,0,0,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,3,Moraine,3,Reworked rolling hills
1282,ENG.YARC03097-01//I401A_Upper (NTGS 16),9.9,10.1,Clay,CL,No,Yes,,,0,0,0,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,3,Moraine,3,Reworked rolling hills
1284,ENG.YARC03097-01//I401A_Upper (NTGS 16),5.3,9.5,Clay,CL,No,Yes,,,0,0,0,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,3,Moraine,3,Reworked rolling hills
1318,ENG.YARC03097-01//ITH-01,4,4.9,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0,Till/clay,Hummocky,None,2,Moraine,2,
1320,ENG.YARC03097-01//ITH-01,2.6,3.35,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0,Till/clay,Hummocky,None,2,Moraine,2,
1322,ENG.YARC03097-01//ITH-02,0.9,3,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0,Till/clay,Lacustrine,None,2,Moraine,2,
1324,ENG.YARC03097-01//ITH-03,2.3,3.1,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0,Till/silt,Hummocky,None,2,Moraine,2,
1330,ENG.YARC03097-01//ITH-04,3,4.6,Clay,CL,No,Yes,,,0,0,0,Moderately rugged,Undulating,0,Till/silt,Hummocky,None,2,Moraine,2,
