,Borehole.ID,Top.depth,Bottom.depth,Thickness,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
180,174-60,0.1,0.5,0.4,Silt,ML,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
188,177 South - 15,0,0.1,0.1,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Flat,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
191,177 South - 3,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
197,177 South - 5,0,0.1,0.1,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
201,177 South - 7,0,0.1,0.1,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
204,177 South - 8,0,0.1,0.1,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
214,19A-03,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
218,19A-04,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
232,19A-06,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
238,19A-07,0,0.2,0.2,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
243,19A-08,0,0.2,0.2,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
249,19A-09,0,0.2,0.2,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
254,19A-10,0,0.2,0.2,Organics,PEAT,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.2,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
265,2.45-1-1,0,0.9,0.9,Silt,,No,No,NA,,0,0,0,Rugged,Undulating,0,Silt/till,Hummocky,Colluvial,2,Moraine,3,Near a river and thermokarst lakes
266,2.45-1-1,0.9,2.7,1.8,Till,,No,No,NA,,0,0,0,Rugged,Undulating,0,Silt/till,Hummocky,Colluvial,2,Moraine,3,Near a river and thermokarst lakes
270,2.45-1-10,0,2.7,2.7,Organics,ORGANICS,No,No,NA,,0,0,0,Moderately rugged,Undulating,2.7,None,Hummocky,Organics,3,Glaciolacustrine,1,Near a river and thermokarst lakes
271,2.45-1-11,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Rugged,Flat,0.2,Till,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
274,2.45-1-12,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.15,Silt/sand,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
278,2.45-1-13,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.15,Till/clay,Hummocky,Organics,3,Moraine,2,Near a river and thermokarst lakes
283,2.45-1-15,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,1.6,None,Hummocky,Organics,3,Glaciolacustrine,1,Near a river and thermokarst lakes
