,Borehole.ID,Top.depth,Bottom.depth,Thickness,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
181,174-60,0.5,1.5,1,Coarse till,SP,No,Yes,Low,Vx/Nf,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
182,174-60,1.5,3,1.5,Fine till,GC,No,Yes,Low,Vx/Nf,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
183,174-60,3,3.3,0.3,Sand,SC,No,Yes,Low,Nbn,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
184,174-60,3.3,4.6,1.3,Coarse till,SP,No,Yes,Low,Nf,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
185,174-60,4.6,5.8,1.2,Clay,CL,No,Yes,Low,Nbe,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
186,174-60,5.8,6.1,0.3,Sand,SC,No,Yes,Low,Nf,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
187,174-60,6.1,10.7,4.6,Coarse till,SP,No,Yes,Low,Nf,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
189,177 South - 15,0.1,1.8,1.7,Clay,CL,No,Yes,Medium to high,Vx,0,0,0,Smooth,Flat,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
190,177 South - 15,1.8,4.6,2.8,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Flat,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
192,177 South - 3,0.2,1.5,1.3,Clay,CL,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
193,177 South - 3,1.5,4.3,2.8,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
194,177 South - 3,4.3,5,0.7,Clay,CL-ML,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
195,177 South - 3,5,5.6,0.6,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
196,177 South - 3,5.6,6.1,0.5,Sand,SM,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
198,177 South - 5,0.1,1.5,1.4,Clay,CL,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.1,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
199,177 South - 5,1.5,2.2,0.7,Sand,SC,No,Yes,Medium to high,,0,0,0,Smooth,Undulating,0.1,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
200,177 South - 5,2.2,3.1,0.9,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.1,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
202,177 South - 7,0.1,1.5,1.4,Clay,CL,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
203,177 South - 7,1.5,4.6,3.1,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
205,177 South - 8,0.1,1.5,1.4,Clay,CL,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
206,177 South - 8,1.5,4.3,2.8,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
207,177 South - 8,4.3,4.6,0.3,Clay,CL-ML,No,Yes,High,Vx,0,0,0,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
208,19A-01,0,1.5,1.5,Clay,CL,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0,Clay/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons
209,19A-01,1.5,3,1.5,Sand,SC,No,Yes,Medium to high,Nf,0,0,0,Smooth,Undulating,0,Clay/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons
210,19A-01,3,4.6,1.6,Sand,SC,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0,Clay/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons
211,19A-01,4.6,6.1,1.5,Sand,SC,No,Yes,Medium to high,,0,0,0,Smooth,Undulating,0,Clay/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons
212,19A-01,6.1,6.4,0.3,Fine till,GM,No,Yes,Medium to high,,0,0,0,Smooth,Undulating,0,Clay/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons
213,19A-01,6.4,8.2,1.8,Gravel,GP,No,Yes,No visible ice,Nf,0,0,0,Smooth,Undulating,0,Clay/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons
215,19A-03,0.2,1.5,1.3,Silt,ML,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
216,19A-03,1.5,3,1.5,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
217,19A-03,3,6.1,3.1,Sand,SM,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
219,19A-04,0.2,1.5,1.4,Silt,ML,No,Yes,Low,Vx,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
220,19A-04,1.5,3,1.5,Fine till,GM,No,Yes,Medium to high,Vx/Vc,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
221,19A-04,3,4,1,Sand,SM,No,Yes,Low,,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
222,19A-04,4,4.6,0.6,Sand,SM,No,Yes,Medium to high,,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
223,19A-04,4.6,6.9,2.3,Sand,SM,No,Yes,No visible ice,Nf,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
224,19A-04,6.9,7.4,0.5,Sand,SM,No,Yes,Low,Vc,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
225,19A-04,7.4,8,0.6,Sand,SM,No,Yes,No visible ice,Nf,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
226,19A-04,8,9.1,1.1,Sand,SM,No,Yes,Low,Vc,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
227,19A-04,9.1,9.9,0.8,Sand,SM,No,Yes,No visible ice,Nf,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
228,19A-04,9.9,10.7,0.8,Sand,SM,No,Yes,Low,Vc,0,0,0,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
229,19A-05,0,3.7,3.7,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0,None,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,"Near ice wedge polygons. Only ice, assumed to be glaciolacustrine."
230,19A-05,3.7,4.3,0.6,Gravel,GP-GC,No,Yes,No visible ice,Nbn,0,0,0,Smooth,Undulating,0,None,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,"Near ice wedge polygons. Only ice, assumed to be glaciolacustrine."
231,19A-05,4.3,7.6,3.3,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0,None,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,"Near ice wedge polygons. Only ice, assumed to be glaciolacustrine."
233,19A-06,0.1,0.8,0.7,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
234,19A-06,0.8,1.5,0.7,Clay,CL,No,Yes,Medium to high,Vx/Nbe,0,0,0,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
235,19A-06,1.5,4,2.5,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
236,19A-06,4,5,1,Coarse till,SW-SM,No,Yes,No visible ice,Nf,0,0,0,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
237,19A-06,5,7.6,2.6,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
239,19A-07,0.2,1.5,1.3,Fine till,GM,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
240,19A-07,1.5,3,1.5,Coarse till,SW-SM,No,Yes,Low,Nf,0,0,0,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
241,19A-07,3,5.2,2.2,Gravel,GP-GM,No,Yes,Medium to high,Vx/Nf,0,0,0,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
242,19A-07,5.2,7.6,2.4,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
244,19A-08,0.2,1.5,1.3,Coarse till,SP-SM,No,Yes,No visible ice,Nf,0,0,0,Smooth,Undulating,0.2,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
245,19A-08,1.5,3,1.5,Gravel,GW-GM,No,Yes,No visible ice,,0,0,0,Smooth,Undulating,0.2,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
246,19A-08,3,4.1,1.1,Gravel,GW-GM,No,Yes,Low,Vc,0,0,0,Smooth,Undulating,0.2,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
247,19A-08,4.1,4.6,0.5,Gravel,GW-GM,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.2,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
248,19A-08,4.6,6.1,1.5,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.2,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons
250,19A-09,0.2,1.5,1.3,Clay,CL,No,Yes,Medium to high,Vx/Vs,0,0,0,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
251,19A-09,1.5,3.7,2.2,Sand,SM,No,Yes,Medium to high,Nf,0,0,0,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
252,19A-09,3.7,4.6,0.9,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
253,19A-09,4.6,6.1,1.5,Sand,SM,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
255,19A-10,0.2,1,0.8,Clay,CL,No,Yes,Medium to high,Vx/Nbn,0,0,0,Moderately rugged,Undulating,0.2,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
256,19A-10,1,1.5,0.5,Clay,CL,No,Yes,Medium to high,Nbn,0,0,0,Moderately rugged,Undulating,0.2,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
257,19A-10,1.5,4.6,3.1,Gravel,GW-GM,No,Yes,Low,Nf,0,0,0,Moderately rugged,Undulating,0.2,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
258,19A-10,13,13.7,0.7,Ice,ICE,No,Yes,ice,,70,85,100,Moderately rugged,Undulating,0.2,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
259,19A-10,4.6,5.2,0.6,Ice,ICE,No,Yes,ice,,70,85,100,Moderately rugged,Undulating,0.2,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
260,19A-10,5.2,13,7.8,Gravel,GW-GM,No,Yes,Medium to high,Vx/Nbe,0,0,0,Moderately rugged,Undulating,0.2,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
261,19A-11,0,0.2,0.2,Organics,PEAT,No,Yes,Low,Vx/Nbe,0,0,0,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
262,19A-11,0.2,1.8,1.7,Clay,CL,No,Yes,Low,Vx/Nbe,0,0,0,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
263,19A-11,1.8,3,1.2,Sand,SM,No,Yes,Medium to high,Vx,0,0,0,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
264,19A-11,3,6.1,3.1,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.2,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
267,2.45-1-1,2.7,4,1.3,Silt,,No,Yes,Low,Vx,0,0,0,Rugged,Undulating,0,Silt/till,Hummocky,Colluvial,2,Moraine,3,Near a river and thermokarst lakes
268,2.45-1-1,4,4.6,0.6,Ice,,No,Yes,ice,,70,85,100,Rugged,Undulating,0,Silt/till,Hummocky,Colluvial,2,Moraine,3,Near a river and thermokarst lakes
269,2.45-1-1,4.6,6.1,1.5,Silt,,No,Yes,Low,Vx,0,0,0,Rugged,Undulating,0,Silt/till,Hummocky,Colluvial,2,Moraine,3,Near a river and thermokarst lakes
272,2.45-1-11,0.2,6.1,5.9,Till,,No,Yes,No visible ice,,0,0,0,Rugged,Flat,0.2,Till,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
273,2.45-1-11,6.1,6.9,0.8,Ice,,No,Yes,ice,,70,85,100,Rugged,Flat,0.2,Till,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
275,2.45-1-12,0.15,2.1,1.95,Silt,,No,Yes,High,,0,0,0,Moderately rugged,Undulating,0.15,Silt/sand,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
276,2.45-1-12,2.1,3.1,1,Sand,,No,Yes,No visible ice,,0,0,0,Moderately rugged,Undulating,0.15,Silt/sand,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
277,2.45-1-12,3.1,6.1,3,Silt,,No,Yes,No visible ice,,0,0,0,Moderately rugged,Undulating,0.15,Silt/sand,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
279,2.45-1-13,0.15,1.8,1.65,Till,,No,Yes,High,,0,0,0,Smooth,Undulating,0.15,Till/clay,Hummocky,Organics,3,Moraine,2,Near a river and thermokarst lakes
280,2.45-1-13,1.8,4,2.2,Clay,,No,Yes,No visible ice,,0,0,0,Smooth,Undulating,0.15,Till/clay,Hummocky,Organics,3,Moraine,2,Near a river and thermokarst lakes
281,2.45-1-13,4,4.6,0.6,Ice,,No,Yes,ice,,70,85,100,Smooth,Undulating,0.15,Till/clay,Hummocky,Organics,3,Moraine,2,Near a river and thermokarst lakes
282,2.45-1-13,4.6,6.4,1.8,Clay,,No,Yes,No visible ice,,0,0,0,Smooth,Undulating,0.15,Till/clay,Hummocky,Organics,3,Moraine,2,Near a river and thermokarst lakes
284,2.45-1-15,0.15,2.1,1.95,Organics,ORGANICS,No,Yes,Medium to high,,0,0,0,Smooth,Flat,1.6,None,Hummocky,Organics,3,Glaciolacustrine,1,Near a river and thermokarst lakes
285,2.45-1-15,2.1,3.7,1.6,Organics,ORGANICS,No,Yes,High,,0,0,0,Smooth,Flat,1.6,None,Hummocky,Organics,3,Glaciolacustrine,1,Near a river and thermokarst lakes
286,2.45-1-15,3.7,4.1,0.4,Till,,No,Yes,No visible ice,,0,0,0,Smooth,Flat,1.6,None,Hummocky,Organics,3,Glaciolacustrine,1,Near a river and thermokarst lakes
288,2.45-1-16,0.15,2.1,1.95,Till,,No,Yes,Low,Vx,0,0,0,Moderately rugged,Undulating,0.15,Till/silt,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
289,2.45-1-16,2.1,5.6,3.5,Silt,,No,Yes,Low,Vx,0,0,0,Moderately rugged,Undulating,0.15,Till/silt,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
291,2.45-1-19,0.15,6.9,6.75,Silt,,No,Yes,Low,Vx,0,0,0,Smooth,Flat,0.15,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
294,2.45-1-2,2.3,5.2,2.9,Till,,No,Yes,Low,Vs,0,0,0,Moderately rugged,Undulating,0.9,Silt/till,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
295,2.45-1-2,5.2,6.1,0.9,Silt,,No,Yes,Low,Vs,0,0,0,Moderately rugged,Undulating,0.9,Silt/till,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
296,2.45-1-20,0,0.8,0.8,Silt,,No,Yes,Low,Vx,0,0,0,Smooth,Flat,0,Silt/till,Hummocky,Colluvial,2,Moraine,3,Near a river and thermokarst lakes
297,2.45-1-20,0.8,5.6,4.8,Till,,No,Yes,Low,Vx,0,0,0,Smooth,Flat,0,Silt/till,Hummocky,Colluvial,2,Moraine,3,Near a river and thermokarst lakes
298,2.45-1-20,5.6,6.9,1.3,Till,,No,Yes,Low,Vx,0,0,0,Smooth,Flat,0,Silt/till,Hummocky,Colluvial,2,Moraine,3,Near a river and thermokarst lakes
301,2.45-1-22,1.5,6.1,4.6,Till,,No,Yes,Low,Vx,0,0,0,Smooth,Flat,0.05,Till,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
304,2.45-1-3,0.8,2.4,1.6,Silt,,No,Yes,Low,Vs,0,0,0,Moderately rugged,Undulating,0.25,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
305,2.45-1-3,2.4,3.8,1.4,Ice,ICE,No,Yes,ice,,70,85,100,Moderately rugged,Undulating,0.25,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
307,2.45-1-4,0.15,1.7,1.55,Silt,,No,Yes,Low,Vx,0,0,0,Smooth,Rolling,0.15,Silt/sand,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
308,2.45-1-4,1.7,2.4,0.7,Sand,,No,Yes,Low,Vx,0,0,0,Smooth,Rolling,0.15,Silt/sand,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
309,2.45-1-4,2.4,6.9,4.5,Silt,,No,Yes,Low,Vx,0,0,0,Smooth,Rolling,0.15,Silt/sand,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
312,2.45-1-5,0.9,4,3.1,Till,,No,Yes,Low,Vx,0,0,0,Smooth,Undulating,0,Silt/till,Hummocky,Colluvial,1,Glaciolacustrine,3,Near a river and thermokarst lakes
313,2.45-1-5,4,6.7,2.7,Silt,,No,Yes,Low,Vx,0,0,0,Smooth,Undulating,0,Silt/till,Hummocky,Colluvial,1,Glaciolacustrine,3,Near a river and thermokarst lakes
315,2.45-1-6,0.2,1.5,1.3,Silt,,No,Yes,Low,Vx,0,0,0,Smooth,Undulating,0.2,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
316,2.45-1-6,1.5,4.3,2.8,Silt,,No,Yes,Low,Vx,0,0,0,Smooth,Undulating,0.2,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
317,2.45-1-6,4.3,5.3,1,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.2,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
319,2.45-1-7,0.25,2.7,2.45,Silt,,No,Yes,Low,Vx,0,0,0,Smooth,Undulating,0.25,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
320,2.45-1-7,2.7,3.8,1.1,Ice,ICE,No,Yes,ice,,70,85,100,Smooth,Undulating,0.25,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
322,2.45-1-8,0.1,2.4,2.3,Silt,,No,Yes,Low,Vx,0,0,0,Moderately rugged,Undulating,0.1,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
323,2.45-1-8,2.4,3.8,1.4,Ice,ICE,No,Yes,ice,,70,85,100,Moderately rugged,Undulating,0.1,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
324,307-12-2,0,0.9,0.9,Gravel,GW-GM,No,Yes,No visible ice,Nf,0,0,0,Moderately rugged,Rolling,0,Gravel/till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,2,Near ice wedge polygons and thermokarst lakes
325,307-12-2,0.9,6.7,5.8,Coarse till,GP,Yes,Yes,No visible ice,Nf,0,0,0,Moderately rugged,Rolling,0,Gravel/till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,2,Near ice wedge polygons and thermokarst lakes
326,307-12-2,6.7,7.3,0.6,Coarse till,GP,Yes,Yes,High,,0,0,0,Moderately rugged,Rolling,0,Gravel/till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,2,Near ice wedge polygons and thermokarst lakes
327,307-12-2,7.3,8.4,1.1,Ice,ICE,No,Yes,ice,,70,85,100,Moderately rugged,Rolling,0,Gravel/till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,2,Near ice wedge polygons and thermokarst lakes
328,307-12-3,0,2.4,2.4,Silt,ML,No,Yes,No visible ice,Nf,0,0,0,Moderately rugged,Rolling,0,Silt/till,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
329,307-12-3,2.4,4.6,2.2,Coarse till,SP-SM,No,Yes,No visible ice,Nf,0,0,0,Moderately rugged,Rolling,0,Silt/till,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
330,307-12-3,4.6,6.1,1.5,Sand,SM,No,Yes,No visible ice,Nf,0,0,0,Moderately rugged,Rolling,0,Silt/till,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
331,307-12-3,6.1,7.3,1.2,Coarse till,SW-SM,No,Yes,No visible ice,Nf,0,0,0,Moderately rugged,Rolling,0,Silt/till,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
332,307-12-3,7.3,8.4,1.1,Coarse till,GW-GM,Yes,Yes,No visible ice,Nf,0,0,0,Moderately rugged,Rolling,0,Silt/till,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
333,307-12-5,0,1.1,1.1,Coarse till,GP,Yes,Yes,No visible ice,Nf,0,0,0,Rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
334,307-12-5,1.1,7.5,6.4,Coarse till,SP-SM,Yes,Yes,No visible ice,Nf,0,0,0,Rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
335,307-12-5,7.5,8.4,0.9,Ice,ICE,No,Yes,ice,,70,85,100,Rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
337,307-14-1,0.1,1.5,1.4,Silt,ML,No,Yes,Low,Vx,0,0,0,Moderately rugged,Flat,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
338,307-14-1,1.5,2.4,0.9,Ice,ICE,No,Yes,ice,,70,85,100,Moderately rugged,Flat,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
340,307-14-1a,0.8,6.1,5.3,Coarse till,GP,Yes,Yes,Low,,0,0,0,Smooth,Undulating,0.8,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
342,307-14-2,0.1,0.8,0.7,Silt,ML,No,Yes,Low,Vx,0,0,0,Smooth,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
